,strategy,gov_policy,day_symptoms_reporting,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
38,S2,no_TTI,4,2.1631901840490797,3.9828220858895707,0.0,0.0,0.0,811.656,77.904,9.036000000000001,26.556,0.0
39,S2,no_TTI,4,1.9223638470451911,3.5990730011587484,0.0,0.0,0.0,833.16,74.544,7.943999999999999,26.784000000000002,0.0
40,S2,symptom_based_TTI,1,1.3094521372667067,3.9145093317278747,0.0,0.0,89.916,791.496,78.024,12.504,39.42,0.0
41,S2,symptom_based_TTI,1,1.387059503177354,3.8076256499133447,0.0,0.0,89.868,798.024,79.092,9.096,41.184,0.0
42,S2,symptom_based_TTI,2,1.413633737723859,3.8076256499133447,544.044,84.26400000000001,89.868,2308.1040000000003,79.092,9.096,39.384,1.248
43,S2,symptom_based_TTI,2,1.4370546318289785,4.081947743467934,547.404,85.032,89.43599999999999,2349.024,82.488,11.196,41.147999999999996,1.104
44,S2,symptom_based_TTI,3,1.6800242865816637,4.014571948998179,1116.78,169.632,89.88,3679.584,79.344,11.292,30.875999999999998,3.9719999999999995
45,S2,symptom_based_TTI,3,1.5405727923627686,3.8788782816229115,1100.532,168.97199999999998,89.48400000000001,3781.992,78.012,9.3,33.024,4.704
46,S2,symptom_based_TTI,4,1.5673058288409567,3.8835365853658534,1599.984,242.89199999999997,89.988,5265.696,76.428,9.504000000000001,27.252,8.827421288409964
47,S2,symptom_based_TTI,4,1.638507185533638,3.996228786926461,1623.792,252.348,90.552,5247.599999999999,76.296,10.668000000000001,26.195999999999998,8.149620813791774
48,S2,test_based_TTI,1,1.392018779342723,3.8996478873239435,0.0,0.0,90.31200000000001,801.792,79.74,9.395999999999999,41.879999999999995,0.0
49,S2,test_based_TTI,1,1.280701754385965,3.88021778584392,0.0,0.0,90.084,795.768,76.96799999999999,10.74,40.824,0.0
50,S2,test_based_TTI,2,1.3929431889399015,3.7644675925925926,56.879999999999995,9.312000000000001,89.148,1454.52,78.06,11.304,36.983999999999995,0.8879300341421872
51,S2,test_based_TTI,2,1.3229712018823199,3.9379939209726444,60.047999999999995,9.204,90.56400000000001,1491.816,77.736,10.392,40.308,0.9205484748430163
52,S2,test_based_TTI,3,1.4564121470751683,3.8959608323133414,124.45199999999998,19.631999999999998,90.096,2267.112,76.39200000000001,8.004,35.58,4.250670620150079
53,S2,test_based_TTI,3,1.6180439387023882,4.019584569732937,115.38,17.688,89.076,2129.784,81.276,11.52,33.192,3.847151559437701
54,S2,test_based_TTI,4,1.7394569151985508,4.034117647058824,192.756,33.696,89.84400000000001,3082.056,82.29599999999999,8.927999999999999,29.58,8.303078929949512
55,S2,test_based_TTI,4,1.706406933722163,3.968053044002411,174.372,29.184,89.544,2849.208,78.996,11.016,26.268,7.740850763459114
56,S2,test_based_TTI_test_contacts,1,1.297872340425532,3.732165206508135,0.0,0.0,90.276,772.656,71.56800000000001,8.508000000000001,38.172,0.0
57,S2,test_based_TTI_test_contacts,1,1.2221542227662179,3.8206854345165238,0.0,0.0,90.16799999999999,785.232,74.916,10.74,40.212,0.0
58,S2,test_based_TTI_test_contacts,2,1.4030936108346368,3.8438061041292637,58.728,8.688,136.74,879.1679999999999,77.076,10.212,37.644,1.0851669155438461
59,S2,test_based_TTI_test_contacts,2,1.321232429156793,3.6378146101903006,55.248,7.296,134.748,866.736,71.112,8.436,35.928,0.9205484748430173
60,S2,test_based_TTI_test_contacts,3,1.4340834921041872,3.9510155316606927,123.084,22.464000000000002,189.228,1016.2320000000001,79.368,11.988,34.44,4.1321308106111
61,S2,test_based_TTI_test_contacts,3,1.6083199790040128,3.9097651421508033,104.676,17.16,173.976,957.792,75.912,10.644,30.432,3.6088592876580496
62,S2,test_based_TTI_test_contacts,4,1.6031015609954151,3.9619631901840493,194.65200000000002,30.744,243.59999999999997,1149.528,77.49600000000001,10.272,27.432,8.435333466929665
63,S2,test_based_TTI_test_contacts,4,1.7350655800073052,3.8083086053412463,168.3,23.94,224.148,1099.584,77.004,9.708,25.032,7.180973972252195
64,S3,no_TTI,1,1.0534979423868314,3.880070546737213,0.0,0.0,0.0,797.328,79.2,24.264,33.432,0.0
65,S3,no_TTI,1,1.026108075288403,3.782027929568913,0.0,0.0,0.0,794.784,74.748,22.116,32.352000000000004,0.0
66,S3,no_TTI,2,1.1317966903073287,3.9013002364066196,0.0,0.0,0.0,788.3520000000001,79.212,24.156000000000002,32.076,0.0
67,S3,no_TTI,2,1.2234169653524491,3.949820788530466,0.0,0.0,0.0,787.272,79.344,22.535999999999998,32.232,0.0
68,S3,no_TTI,3,1.329940119760479,3.8359281437125747,0.0,0.0,0.0,819.504,76.872,25.392000000000003,24.828,0.0
69,S3,no_TTI,3,1.3528399311531842,3.9139414802065406,0.0,0.0,0.0,832.7520000000001,81.864,24.276,29.292,0.0
