,total_effects_gp,total_effects,main_effects_gp,main_effects
app_coverage,,-1.1943982546042333,,0.5326382621412624
compliance,,0.473883972116786,,1.138353491381597
go_to_school_prob,0.11002753628638312,,0.00016227058279292137,
wfh_prob,0.9786283183730772,,0.9674556478398724,
