,strategy,gov_policy,latent,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
20,S1,test_based_TTI,3,2.0272244494905145,3.9547079856972585,191.796,34.86,89.376,3122.592,79.63199999999999,0.0,30.311999999999998,8.499808485058931
21,S1,test_based_TTI,3,1.9992524441494846,3.8066066066066067,176.01600000000002,25.68,89.304,2868.3599999999997,76.056,0.0,29.208000000000002,6.9029361658931885
22,S1,test_based_TTI,4,1.9245465138600715,3.926550270921132,187.728,28.020000000000003,89.712,2993.064,78.264,0.0,30.66,9.243938885740967
23,S1,test_based_TTI,4,2.1637367824791016,4.1236623067776454,188.83200000000002,29.736,88.96799999999999,3041.664,83.232,0.0,30.323999999999998,9.235136782441703
24,S1,test_based_TTI_test_contacts,1,2.0553866710342907,3.703852788959172,186.45600000000002,27.66,238.416,1159.56,77.292,0.0,29.499128354870297,4.90106259398613
25,S1,test_based_TTI_test_contacts,1,2.186729516716544,3.820245398773006,169.032,22.524,223.884,1093.3919999999998,74.724,0.0,27.365184288141997,4.5863863648824195
26,S1,test_based_TTI_test_contacts,2,2.064974029505398,3.868169014084507,190.776,31.548000000000002,243.77999999999997,1167.24,82.392,0.0,31.85452861028763,6.553524561247342
27,S1,test_based_TTI_test_contacts,2,1.9398141000349853,3.8861061419200955,202.07999999999998,37.548,253.128,1188.144,78.204,0.0,31.55976549168929,7.60741555920657
28,S1,test_based_TTI_test_contacts,3,2.0148900436529367,3.8191616766467065,182.112,30.444,236.28,1105.272,76.536,0.0,28.439999999999998,7.717603525195024
29,S1,test_based_TTI_test_contacts,3,1.8600088889583877,4.011014492753623,218.4,38.976,266.664,1241.4479999999999,83.02799999999999,0.0,35.184000000000005,9.341815998561259
30,S1,test_based_TTI_test_contacts,4,1.906045048750317,3.8265179677819083,171.384,29.664,227.916,1117.5359999999998,74.11200000000001,0.0,28.752000000000002,8.443719495803762
31,S1,test_based_TTI_test_contacts,4,1.9676384231546935,3.8485229415461975,165.83999999999997,29.544,225.96,1099.608,73.476,0.0,27.768,8.141847225130517
32,S2,no_TTI,1,1.9885855396912389,3.6153846153846154,0.0,0.0,0.0,803.736,72.19200000000001,8.424,24.05992394344523,-4.929390229335695e-17
33,S2,no_TTI,1,2.0545103691342104,3.8102409638554215,0.0,0.0,0.0,840.12,75.89999999999999,8.676,26.29815344684641,-3.996802888650563e-18
34,S2,no_TTI,2,2.1121114406707644,3.9401162790697675,0.0,0.0,0.0,820.7280000000001,81.324,11.736,25.99401986455539,-3.996802888650563e-18
35,S2,no_TTI,2,1.9717409411453874,3.8751552795031055,0.0,0.0,0.0,820.8240000000001,74.868,10.692,26.081965017071088,-5.3290705182007515e-18
36,S2,no_TTI,3,2.0402097902097904,3.7855477855477857,0.0,0.0,0.0,820.632,77.952,10.836,25.104,0.0
37,S2,no_TTI,3,2.1314044605183846,3.889089813140446,0.0,0.0,0.0,822.12,77.424,8.904,26.088,0.0
38,S2,no_TTI,4,2.128773875539125,3.924214417744917,0.0,0.0,0.0,828.12,76.428,9.228,25.74,0.0
39,S2,no_TTI,4,2.0192192192192193,3.9297297297297296,0.0,0.0,0.0,843.8639999999999,78.516,9.803999999999998,28.368,0.0
40,S2,symptom_based_TTI,1,1.637393356071651,3.947582993593477,1660.7279999999998,249.08399999999997,89.352,5574.168,81.336,9.276,29.798391956929187,8.524755334570418
41,S2,symptom_based_TTI,1,1.6905827085289624,3.9206541490006055,1651.788,254.70000000000002,90.408,5350.224,77.676,10.020000000000001,26.56978143712252,7.592393941501633
42,S2,symptom_based_TTI,2,1.6430930212010002,3.7525342874180083,1665.54,259.596,89.664,5255.639999999999,75.51599999999999,9.084,25.60309220350415,7.763303837846896
43,S2,symptom_based_TTI,2,1.6545698644306865,3.650581395348837,1628.532,253.54799999999997,89.41199999999999,5126.856,75.348,7.763999999999999,25.8762742374215,7.557403760729048
44,S2,symptom_based_TTI,3,1.6936099147489567,4.117341040462428,1692.888,257.736,89.712,5626.248,85.476,10.464,29.28,10.57265816981161
45,S2,symptom_based_TTI,3,1.6384927558382005,3.811857229280097,1585.74,246.588,88.404,5081.304,75.612,9.756,25.464,7.890857695193435
46,S2,symptom_based_TTI,4,1.7146297411198073,3.9476219145093316,1637.1,246.52799999999996,89.68799999999999,5232.432,78.684,9.492,26.688,8.328000000000001
47,S2,symptom_based_TTI,4,1.6188500296384114,3.7462951985773563,1650.012,243.972,90.0,5338.8240000000005,75.84,7.715999999999999,26.412,8.94
48,S2,test_based_TTI,1,1.8069933371496711,3.8288736776602366,171.024,30.18,91.38,2817.624,73.836,8.879999999999999,25.673747881358487,4.4361926050472285
49,S2,test_based_TTI,1,1.8880633290276885,4.01739652069586,181.416,30.791999999999998,88.932,2916.576,80.36399999999999,11.508,26.280895273724468,4.806285892405632
50,S2,test_based_TTI,2,1.806469171282167,3.9298140371925614,165.63600000000002,24.948,88.896,2748.696,78.612,10.128,26.186019864555398,6.161370833115993
51,S2,test_based_TTI,2,1.806469171282167,3.9298140371925614,165.63600000000002,24.948,88.896,2748.696,78.612,10.128,26.186019864555398,6.161370833115993
52,S2,test_based_TTI,3,1.6908919003832052,3.8624694376528117,167.436,26.484,88.416,2752.824,75.828,10.872,25.212,6.548410211676858
53,S2,test_based_TTI,3,1.7563358567579328,3.9522687094873308,183.504,23.964,89.028,2929.656,80.484,10.787999999999998,26.22,7.709976612981404
54,S2,test_based_TTI,4,1.6441247709886877,3.664783427495292,150.252,22.728,88.704,2544.312,70.056,8.448,22.86,7.318910877780202
55,S2,test_based_TTI,4,1.6991898219658421,3.7727532913566115,168.672,26.856,89.244,2787.288,79.092,10.091999999999999,25.104,8.274184572308014
56,S2,test_based_TTI_test_contacts,1,1.9236825747677209,3.9401451027811367,162.864,25.14,218.796,1076.9279999999999,78.204,11.856,23.838509914169446,4.328238341840812
57,S2,test_based_TTI_test_contacts,1,1.8474781742324382,3.924848484848485,172.61999999999998,30.66,228.348,1124.7359999999999,77.71199999999999,9.42,26.94389690240553,4.76803524779218
58,S2,test_based_TTI_test_contacts,2,1.815504374141164,3.980722891566265,184.2,28.332,237.828,1140.8880000000001,79.296,9.912,27.041965017071092,6.177187850036878
59,S2,test_based_TTI_test_contacts,2,1.7277233260899851,3.733568075117371,180.072,27.732,231.9,1125.48,76.344,9.252,25.502583457771916,6.26092997033996
60,S2,test_based_TTI_test_contacts,3,1.7140494120877503,3.930622009569378,178.896,26.268,231.084,1115.472,78.864,9.768,26.892,7.813312595871312
61,S2,test_based_TTI_test_contacts,3,1.6831512132906656,3.822209096278795,177.0,29.412000000000003,230.92800000000003,1120.056,77.652,10.068,25.715999999999998,7.67309995078677
62,S2,test_based_TTI_test_contacts,4,1.590230033378938,3.8218599033816427,175.76399999999998,25.164,227.88,1124.664,75.94800000000001,9.863999999999999,26.580000000000002,7.902948776693735
63,S2,test_based_TTI_test_contacts,4,1.6358966735128286,3.782890855457227,174.42000000000002,24.852,227.904,1105.9199999999998,76.944,9.335999999999999,25.776,8.557861660748982
64,S3,no_TTI,1,1.6477624925483794,3.902224824355972,0.0,0.0,0.0,820.2959999999999,79.98,25.439999999999998,20.767459952728363,-3.996802888650563e-18
65,S3,no_TTI,1,1.6489653463042568,4.0081504702194355,0.0,0.0,0.0,833.28,76.716,24.276,20.87880327173648,3.996802888650563e-18
66,S3,no_TTI,2,1.7437176705831214,4.106562311860325,0.0,0.0,0.0,817.44,81.852,26.304000000000002,20.7922193899372,3.4638958368304884e-17
67,S3,no_TTI,2,1.59555171676805,3.9634073185362926,0.0,0.0,0.0,839.328,79.28399999999999,26.112,21.254583457771915,-5.728750807065808e-17
68,S3,no_TTI,3,1.5311554748941318,3.8517846339987902,0.0,0.0,0.0,859.464,76.40400000000001,24.060000000000002,21.972,0.0
69,S3,no_TTI,3,1.6277190801740211,4.046612802983219,0.0,0.0,0.0,810.72,78.132,25.259999999999998,21.444,0.0
70,S3,no_TTI,4,1.53562945368171,3.7731591448931114,0.0,0.0,0.0,843.0,76.24799999999999,24.288,20.928,0.0
71,S3,no_TTI,4,1.615339233038348,4.060766961651917,0.0,0.0,0.0,832.9440000000001,82.596,27.552,22.188000000000002,0.0
72,S3,symptom_based_TTI,1,1.283188062338606,3.875,1327.392,198.612,89.736,4333.584,76.25999999999999,24.732,20.39639913341346,5.878459799762809
73,S3,symptom_based_TTI,1,1.334970941511988,3.884127942063971,1313.808,191.77200000000002,89.544,4388.448,77.232,22.932,21.366132155126103,6.389305643849547
74,S3,symptom_based_TTI,2,1.2898536921227581,4.023395320935813,1351.428,190.86,89.868,4444.2480000000005,80.484,25.98,21.6642742374215,7.037492505354872
75,S3,symptom_based_TTI,2,1.2558026338225614,3.994565217391304,1336.464,184.668,89.064,4422.048,79.38,26.304000000000002,21.305401423854555,6.8152886368235315
76,S3,symptom_based_TTI,3,1.151026157578371,3.9400948991696323,1315.608,198.084,89.49600000000001,4557.96,79.716,24.804,23.951999999999998,7.672438779874417
77,S3,symptom_based_TTI,3,1.2369143063099626,3.9148936170212765,1377.0,206.856,90.384,4520.400000000001,77.28,23.616,22.08,7.167311593441363
78,S3,symptom_based_TTI,4,1.379799173065564,3.90253987005316,1291.644,185.20800000000003,88.908,4308.696,79.28399999999999,23.34,20.712,7.199999999999999
79,S3,symptom_based_TTI,4,1.2956521739130435,3.9732919254658383,1324.584,186.0,90.41999999999999,4408.176,76.76400000000001,22.896,21.264,7.572
80,S3,test_based_TTI,1,1.449242336642149,3.8297122724603643,151.836,20.436,88.96799999999999,2550.792,78.264,22.248,22.506693576767873,3.8925900316132016
81,S3,test_based_TTI,1,1.399380388939511,3.908059701492537,141.396,16.188,89.544,2426.8320000000003,78.55199999999999,26.004,21.01716299642166,3.403291185894124
82,S3,test_based_TTI,2,1.3478797438234724,3.798787878787879,151.14000000000001,22.404,89.52,2575.272,75.21600000000001,20.676000000000002,22.41391016958679,5.43807090270844
