,strategy,gov_policy,app,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
24,S1,symptom_based_TTI,0.4,1.928246348158923,3.7711711711711713,1749.36,398.29200000000003,90.336,5729.808,75.348,0.0,29.218104021976515,7.6035339418081795
25,S1,symptom_based_TTI,0.4,2.004761472461181,4.0884312537855845,1776.348,391.93199999999996,89.592,5856.576,81.0,0.0,33.11725124478606,8.164414462813015
26,S1,symptom_based_TTI,0.5,1.9086093914006346,3.914996964177292,1788.12,611.652,90.108,6118.704,77.376,0.0,30.852984823132157,8.80125916522569
27,S1,symptom_based_TTI,0.5,1.9802011933635058,3.842555618938962,1778.436,628.128,89.58000000000001,6038.496,80.832,0.0,30.76453514208869,8.411952554316555
28,S1,symptom_based_TTI,0.6,1.919703982995709,3.950759878419453,1748.844,905.784,89.952,6261.36,77.988,0.0,31.29888295506745,8.794160420597212
29,S1,symptom_based_TTI,0.6,1.8594859472517176,3.7344701583434836,1829.376,932.928,90.0,6163.776,73.584,0.0,28.717920450690528,8.226768444661628
30,S1,symptom_based_TTI,0.7,1.813842930790488,3.9894736842105263,1805.376,1253.244,90.0,6811.344,81.864,0.0,34.130516443633304,10.513426616545884
31,S1,symptom_based_TTI,0.7,1.8687535852004433,3.898726500909642,1823.028,1246.3799999999999,89.988,6504.432,77.148,0.0,30.878985094326296,9.29011896172732
32,S1,symptom_based_TTI,0.8,1.8111809937888568,3.7243667068757538,1767.012,1618.176,89.49600000000001,6562.824,74.10000000000001,0.0,28.983457520181982,9.081285427394889
33,S1,symptom_based_TTI,0.8,1.923922014784225,3.8834355828220857,1810.5720000000001,1623.3,89.868,6743.256,75.96000000000001,0.0,29.156944681169243,9.171140709651288
34,S1,symptom_based_TTI,0.9,1.8182730553691797,3.8506375227686704,1743.972,1978.7879999999998,89.94000000000001,6980.639999999999,76.104,0.0,29.680576374356008,10.487074959327517
35,S1,symptom_based_TTI,0.9,1.674075390953584,3.6519607843137254,1768.5240000000001,2030.328,89.364,6992.664,71.52,0.0,28.973186270237594,9.7617212733274
36,S1,test_based_TTI,0.1,1.9238008649252007,3.9297935103244837,196.76399999999998,3.7920000000000003,89.05199999999999,3022.536,79.932,0.0,34.86972449949749,5.932165907923889
37,S1,test_based_TTI,0.1,2.0417172028185995,3.722488038277512,176.316,2.904,90.24,2824.44,74.68799999999999,0.0,28.412501654609255,5.310484388038285
38,S1,test_based_TTI,0.2,1.9557600244366822,3.7850902737332555,176.376,12.576,89.064,2865.552,77.988,0.0,31.922494556082388,5.769025900424127
39,S1,test_based_TTI,0.2,2.033156919275144,3.908278737343657,203.84400000000002,11.315999999999999,89.85600000000001,3142.32,78.744,0.0,31.68946772426591,6.090486666178407
40,S1,test_based_TTI,0.3,2.2329963797744985,4.181384248210024,195.924,23.267999999999997,88.56,3067.92,84.096,0.0,32.8417202501937,6.344256559781525
41,S1,test_based_TTI,0.3,1.967333890568729,3.6990881458966567,186.708,25.284,89.748,2998.2960000000003,73.02000000000001,0.0,28.416848198076508,5.76798080209674
42,S1,test_based_TTI,0.4,2.054478671621173,3.861520329994107,198.38400000000001,47.304,89.388,3203.64,78.636,0.0,30.2899615201529,6.508634810953462
43,S1,test_based_TTI,0.4,2.11915658394206,4.079279279279279,199.224,43.236000000000004,89.316,3195.408,81.504,0.0,32.55519489857734,6.608056554260243
44,S1,test_based_TTI,0.5,1.9866337363705389,3.8899026763990268,181.236,67.65599999999999,88.98,3093.8160000000003,76.74,0.0,31.10091940101406,6.446770247867918
45,S1,test_based_TTI,0.5,1.8725371698687066,3.727592267135325,185.64,76.96799999999999,89.16,3140.8559999999998,76.356,0.0,31.466410078810533,6.532538533598839
46,S1,test_based_TTI,0.6,1.9406170264569518,3.825445605408728,187.776,91.464,89.556,3235.584,74.68799999999999,0.0,29.867460625756923,6.931932549697487
47,S1,test_based_TTI,0.6,2.2033648204210383,4.041617819460727,189.828,86.52,89.892,3258.144,82.74,0.0,30.795831362618586,6.836884033721861
48,S1,test_based_TTI,0.7,2.0041752360239933,3.759562841530055,178.716,126.16799999999999,88.188,3175.824,74.304,0.0,26.97134909417525,7.722131541046499
49,S1,test_based_TTI,0.7,1.9737492803121628,3.851961950059453,172.704,117.816,89.208,3139.896,77.748,0.0,30.8431165729557,7.066727953223562
50,S1,test_based_TTI,0.8,1.9718156705009096,3.923774954627949,194.71200000000002,170.964,90.264,3532.9680000000003,77.832,0.0,30.11335377097738,8.605710588966511
51,S1,test_based_TTI,0.8,2.03428342900194,3.9416103257529196,173.724,162.42,89.316,3330.744,76.956,0.0,29.910323499933362,7.328326832232711
52,S1,test_based_TTI,0.9,1.928636401040875,3.9075382803297996,180.732,211.956,89.78399999999999,3561.936,79.62,0.0,31.92765696206116,8.394447730329926
53,S1,test_based_TTI,0.9,1.8223957580983186,3.866303690260133,196.00799999999998,223.008,89.616,3780.096,76.69200000000001,0.0,31.629815318644418,8.913142423717254
54,S1,test_based_TTI_test_contacts,0.1,1.8969112586683374,3.65303738317757,170.784,3.2880000000000003,222.024,1091.0159999999998,75.048,0.0,30.840291871701197,5.237563230216443
55,S1,test_based_TTI_test_contacts,0.1,2.208143933153761,4.253125,188.13600000000002,3.3,237.312,1137.5759999999998,81.66,0.0,33.27581190979389,5.987824573653867
56,S1,test_based_TTI_test_contacts,0.2,2.001495300954082,3.8455089820359283,183.23999999999998,7.823999999999999,232.17600000000002,1131.7440000000001,77.064,0.0,31.302371325910585,5.65166284296957
57,S1,test_based_TTI_test_contacts,0.2,2.1968663392005996,4.031510107015458,211.33200000000002,9.792000000000002,256.02000000000004,1189.416,81.372,0.0,30.66464256995191,6.365807239623154
58,S1,test_based_TTI_test_contacts,0.3,2.0545627691141903,3.966030989272944,209.988,29.496,258.32399999999996,1162.248,79.86,0.0,32.21492532018872,6.274398760927914
59,S1,test_based_TTI_test_contacts,0.3,2.030436905604979,3.8647023451593507,180.54,23.796,234.97199999999998,1134.24,77.12400000000001,0.0,31.240021207244276,5.364579904502718
60,S1,test_based_TTI_test_contacts,0.4,2.0338340286520222,3.7366881217086014,186.86399999999998,42.204,243.39600000000002,1134.6,76.63199999999999,0.0,28.674500231326885,6.247631509077394
61,S1,test_based_TTI_test_contacts,0.4,2.0336765055316244,3.876063183475091,190.2,38.58,244.5,1131.7440000000001,76.56,0.0,29.879940989302618,6.510880673436666
62,S1,test_based_TTI_test_contacts,0.5,2.0643088008365105,4.056737588652482,204.036,76.308,265.716,1204.128,82.368,0.0,33.408219911830926,7.046054195984512
63,S1,test_based_TTI_test_contacts,0.5,1.8973454345352696,3.620729588882455,175.98,61.104,239.54399999999998,1115.4,75.036,0.0,29.886195520755447,5.829217693935556
64,S1,test_based_TTI_test_contacts,0.6,1.9253737644514752,3.833133971291866,191.556,100.86,260.208,1187.8799999999999,76.908,0.0,30.876879257348378,7.400421532697152
65,S1,test_based_TTI_test_contacts,0.6,1.894068856394727,3.8252543387193296,182.80800000000002,96.36,251.90400000000002,1168.728,76.704,0.0,31.651858921177862,7.072272370395021
66,S1,test_based_TTI_test_contacts,0.7,1.9952311656016508,4.051869722557298,190.596,136.33200000000002,268.836,1206.192,80.616,0.0,33.55487248797497,7.364008241214539
67,S1,test_based_TTI_test_contacts,0.7,2.0180772677764027,3.9278787878787877,197.832,138.51600000000002,273.492,1199.424,77.772,0.0,29.977048137124697,7.837021960902441
68,S1,test_based_TTI_test_contacts,0.8,1.9963937785521844,3.7512135922330097,164.784,144.24,250.36799999999997,1127.664,74.184,0.0,27.833099892866024,6.87021674248592
69,S1,test_based_TTI_test_contacts,0.8,1.8122537782153019,3.913573085846868,205.28400000000002,185.148,287.844,1231.272,80.964,0.0,34.797960748975534,8.67413308730627
70,S1,test_based_TTI_test_contacts,0.9,1.7905904843599656,3.766263672999424,189.624,223.464,287.4,1229.0400000000002,78.504,0.0,32.60167025264172,8.579261691359138
71,S1,test_based_TTI_test_contacts,0.9,1.80264392209723,3.808995327102804,191.04000000000002,220.8,288.72,1239.624,78.252,0.0,32.14153091885152,9.076952345582962
72,S2,no_TTI,0.1,1.9461183425782398,3.706547619047619,0.0,0.0,0.0,808.032,74.724,11.495999999999999,23.994254213622657,1.4654943925052067e-17
73,S2,no_TTI,0.1,1.9777221737490636,3.767627222562845,0.0,0.0,0.0,837.0,73.74000000000001,10.404,24.62802161538332,-6.661338147750939e-18
74,S2,no_TTI,0.2,2.1034402279946494,3.938347718865598,0.0,0.0,0.0,789.528,76.656,9.972,25.742639402312136,-5.3290705182007515e-18
75,S2,no_TTI,0.2,2.0203123937877634,3.8515337423312883,0.0,0.0,0.0,824.424,75.336,7.4399999999999995,28.37868957751132,3.996802888650563e-18
76,S2,no_TTI,0.3,2.1506473968995308,4.217153284671533,0.0,0.0,0.0,828.192,83.196,11.256,29.512028153966053,1.0658141036401503e-17
77,S2,no_TTI,0.3,2.0105238687400866,3.870581186339125,0.0,0.0,0.0,826.3919999999999,77.52,10.296,26.95722795687353,2.2648549702353192e-17
78,S2,no_TTI,0.4,1.831550610150548,3.6825208085612364,0.0,0.0,0.0,812.736,74.32799999999999,10.296,27.063982484721322,-2.531308496145357e-17
79,S2,no_TTI,0.4,2.085769508630409,3.8542168674698796,0.0,0.0,0.0,834.36,76.77600000000001,9.66,25.567471388082236,7.993605777301126e-18
80,S2,no_TTI,0.5,2.151596167165846,4.007878787878788,0.0,0.0,0.0,835.2,79.356,8.724,28.030395890116235,1.3322676295501879e-18
81,S2,no_TTI,0.5,2.150223056908603,3.938692886061307,0.0,0.0,0.0,810.048,81.72,9.863999999999999,27.24317201526029,-9.325873406851316e-18
82,S2,no_TTI,0.6,2.133048421817039,3.9838129496402876,0.0,0.0,0.0,804.792,79.74,10.932,26.112902788910134,6.661338147750939e-18
83,S2,no_TTI,0.6,1.8920158457171505,3.927178899082569,0.0,0.0,0.0,865.1279999999999,82.18799999999999,10.847999999999999,31.743892380831465,1.5987211554602253e-17
84,S2,no_TTI,0.7,1.8666535482260316,3.5652973635806253,0.0,0.0,0.0,826.968,69.78,9.444,23.80185675412009,-1.199040866595169e-17
85,S2,no_TTI,0.7,1.9613605098152065,3.888618381010347,0.0,0.0,0.0,840.4319999999999,76.668,9.3,28.697816188483376,1.865174681370263e-17
86,S2,no_TTI,0.8,2.114340169548709,4.021046301864101,0.0,0.0,0.0,838.7040000000001,80.244,11.448,26.60222757648595,6.394884621840901e-17
87,S2,no_TTI,0.8,1.8230538563138206,3.793536804308797,0.0,0.0,0.0,836.832,76.068,12.299999999999999,27.21212407319525,3.996802888650563e-18
88,S2,no_TTI,0.9,2.1248700319132703,3.9228007181328546,0.0,0.0,0.0,849.096,78.66,9.24,26.812106120075093,1.5987211554602253e-17
89,S2,no_TTI,0.9,2.0291085975964434,3.7390783961699583,0.0,0.0,0.0,817.2479999999999,74.976,8.58,25.70831440099607,2.7977620220553945e-17
90,S2,symptom_based_TTI,0.1,1.8279380093847508,3.9402271368798565,1732.6319999999998,20.772000000000002,89.964,5436.504,79.104,9.432,25.856986201456664,7.117330322135034
91,S2,symptom_based_TTI,0.1,1.723773864049238,3.8412790697674417,1674.24,19.944,89.52,5292.312,79.28399999999999,10.836,25.974545586278275,6.894761859745445
92,S2,symptom_based_TTI,0.2,1.5440547935465494,3.671299093655589,1638.9,83.39999999999999,90.41999999999999,5160.624,72.912,9.96,25.317521236111673,6.969550564053855
93,S2,symptom_based_TTI,0.2,1.61193799487156,3.986390532544379,1751.1,81.93599999999999,90.48,5542.896000000001,80.844,10.536,29.668258454865825,7.949639009138943
94,S2,symptom_based_TTI,0.3,1.7484606427229403,3.9420549581839905,1694.748,188.376,88.8,5536.92,79.188,8.736,27.622132655305435,7.706789953676103
95,S2,symptom_based_TTI,0.3,1.6459801276167163,3.7870036101083033,1705.896,183.876,89.64,5434.728,75.52799999999999,9.803999999999998,25.592467912164025,7.30410442264815
96,S2,symptom_based_TTI,0.4,1.5648275400838765,3.797705314009662,1652.196,329.712,89.556,5247.696,75.468,10.331999999999999,26.663562561925936,7.37618456152725
97,S2,symptom_based_TTI,0.4,1.6109387849910886,3.7261833433193527,1734.816,333.156,88.8,5460.552000000001,74.628,8.879999999999999,26.124266147221686,7.359851866976753
98,S2,symptom_based_TTI,0.5,1.6641996734642581,3.9184681902408895,1602.288,506.47200000000004,90.12,5268.384,76.128,9.803999999999998,27.13432359857706,6.857605145359327
99,S2,symptom_based_TTI,0.5,1.7033265089417453,4.037611940298508,1640.436,520.896,89.84400000000001,5482.512000000001,81.156,11.412,28.069173085512922,7.4379640847579696
100,S2,symptom_based_TTI,0.6,1.5681498776485199,3.8033175355450237,1645.9199999999998,730.98,88.728,5565.744,77.04,11.448,25.36696164006526,8.460594438286305
101,S2,symptom_based_TTI,0.6,1.5592550462226713,3.913565426170468,1666.4759999999999,761.292,89.16,5674.128,78.24000000000001,10.932,27.904197623072225,8.231175492844136
102,S2,symptom_based_TTI,0.7,1.626668878635107,3.9320505111244737,1697.748,1065.348,89.244,5820.216,78.468,10.668000000000001,27.06262497604549,8.275570881912305
103,S2,symptom_based_TTI,0.7,1.5679470809597196,3.734820322180917,1684.1640000000002,1047.3960000000002,89.616,5512.224,72.336,9.132,25.984034154127894,6.851966781844264
104,S2,symptom_based_TTI,0.8,1.71671116545393,4.2181268882175225,1657.4279999999999,1338.588,89.544,6070.031999999999,83.772,12.516,28.119103495908796,9.043012758176145
105,S2,symptom_based_TTI,0.8,1.57582410816343,3.8787346221441124,1684.9080000000001,1343.22,89.11200000000001,6254.4,79.452,9.648,28.09587494579274,9.42894402258754
106,S2,symptom_based_TTI,0.9,1.5983102800628555,3.8659420289855073,1714.8719999999998,1761.48,89.256,6014.376,76.824,11.34,25.541625761028534,8.180752353562367
107,S2,symptom_based_TTI,0.9,1.575450699799213,4.051597051597051,1706.472,1769.616,90.372,6330.312,79.152,10.188,28.06649339101058,10.119501737711978
108,S2,test_based_TTI,0.1,1.7468758818118097,3.7647768395657417,159.78,1.9080000000000001,90.012,2586.816,74.904,9.768,25.54146831005217,4.838689145420001
109,S2,test_based_TTI,0.1,1.8925677118156807,4.011574074074074,183.156,3.2880000000000003,88.476,2886.192,83.184,10.319999999999999,27.710459399013022,5.909256528776974
110,S2,test_based_TTI,0.2,1.6814889288804435,3.8320787492762016,191.28,10.824,88.848,2972.9759999999997,79.41600000000001,11.172,27.644355728794036,5.752467709087625
111,S2,test_based_TTI,0.2,1.775538814556214,3.8696165191740413,173.46,10.116,89.448,2784.408,78.708,10.356,27.228133553419173,5.009406958507375
112,S2,test_based_TTI,0.3,1.6621809282375,3.904938271604938,175.452,19.247999999999998,90.384,2844.264,75.912,10.896,26.66283852988014,6.040364225182838
113,S2,test_based_TTI,0.3,1.6985569109241416,3.7058118633912525,174.57600000000002,18.491999999999997,89.78399999999999,2847.648,74.22,10.656,24.433338736320415,5.111963451690833
114,S2,test_based_TTI,0.4,1.6788929683749685,3.905218956208758,176.328,33.552,89.03999999999999,2889.9840000000004,78.12,11.304,27.845593542493123,5.385831518133976
115,S2,test_based_TTI,0.4,1.6553265782235171,3.71900826446281,167.46,33.852000000000004,89.316,2772.072,75.6,9.0,27.282780843515877,5.667740474356439
116,S2,test_based_TTI,0.5,1.767288912822328,3.957331730769231,186.33599999999998,54.635999999999996,90.50399999999999,3048.48,79.02,9.12,28.85331428560074,5.757460703162979
117,S2,test_based_TTI,0.5,1.7196399996097593,3.7557794902193242,177.54,53.448,89.10000000000001,2924.784,76.03200000000001,8.988,26.021153392833362,6.210454455066648
118,S2,test_based_TTI,0.6,1.7049415518827116,3.9365558912386707,168.876,73.524,88.56,2899.344,78.17999999999999,11.508,26.923404018380523,5.888456761228793
119,S2,test_based_TTI,0.6,1.5791402376589747,3.561791044776119,160.656,78.372,88.5,2818.128,71.592,9.696,24.18995515921737,5.965326063837202
120,S2,test_based_TTI,0.7,1.628988291539257,3.6627288836385117,173.376,113.712,89.988,3048.2160000000003,74.41199999999999,10.176,24.42210528089406,6.719368588194367
121,S2,test_based_TTI,0.7,1.6782521809962208,3.8624242424242423,174.07199999999997,104.916,90.108,2988.0240000000003,76.476,9.948,27.00008040689425,6.298526409380558
122,S2,test_based_TTI,0.8,1.7431401364484698,3.748166259168704,177.6,145.836,89.28,3158.2799999999997,73.584,9.156,23.33773979264596,6.868933048597666
123,S2,test_based_TTI,0.8,1.7310999595072099,3.9618717504332754,179.67600000000002,149.964,89.064,3193.6079999999997,82.29599999999999,10.368,28.245325551595762,7.724266089520414
124,S2,test_based_TTI,0.9,1.664057256690207,3.6642156862745097,191.196,201.48000000000002,89.58000000000001,3403.392,71.75999999999999,7.848,23.911504860719404,7.411597824259591
125,S2,test_based_TTI,0.9,1.626418724054902,3.819092516205068,188.22,185.868,89.964,3384.264,77.772,11.124,26.30436141238006,7.223247690965924
