,strategy,gov_policy,quarantine_length,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,6,2.4394940506729506,3.991448118586089,0.0,0.0,0.0,623.7120000000001,84.012,0.0,32.66552922143574,1.7319479184152442e-17
1,S1,no_TTI,6,2.3146048623247166,3.963570127504554,0.0,0.0,0.0,621.576,78.33600000000001,0.0,32.590149501014295,-7.993605777301126e-18
2,S1,no_TTI,8,2.314202903253028,3.8264724509183026,0.0,0.0,0.0,675.672,72.50399999999999,0.0,28.65448338916161,-1.4654943925052067e-17
3,S1,no_TTI,8,2.2883776453330675,3.822674418604651,0.0,0.0,0.0,678.6,78.89999999999999,0.0,31.667885400325453,9.325873406851316e-18
4,S1,no_TTI,10,2.263540124597135,3.923216444981862,0.0,0.0,0.0,731.808,77.86800000000001,0.0,32.94125560699606,-5.861977570020827e-17
5,S1,no_TTI,10,2.3539426803748147,4.002369668246446,0.0,0.0,0.0,721.5840000000001,81.072,0.0,33.39053706632775,4.39648317751562e-17
6,S1,no_TTI,12,2.3750206449855074,3.807715491259795,0.0,0.0,0.0,760.7760000000001,75.804,0.0,28.522088999628494,0.0
7,S1,no_TTI,12,2.3659349490982717,3.9625144175317186,0.0,0.0,0.0,786.984,82.452,0.0,33.22162557916317,-4.662936703425657e-17
8,S1,no_TTI,14,2.411694720641934,4.0,0.0,0.0,0.0,838.7040000000001,81.93599999999999,0.0,32.534845342370595,3.730349362740526e-17
9,S1,no_TTI,14,2.2192298949057974,3.772447724477245,0.0,0.0,0.0,806.784,73.60799999999999,0.0,30.306386290598088,-1.4654943925052067e-17
10,S1,symptom_based_TTI,6,2.031069233423024,4.267427884615385,1829.568,328.86,89.652,4412.304,85.21199999999999,0.0,35.2308259976363,9.42478354937273
11,S1,symptom_based_TTI,6,1.8507336467058826,3.79004199160168,1797.2759999999998,308.868,90.31200000000001,4247.472,75.816,0.0,31.804058112907068,6.989866018388418
12,S1,symptom_based_TTI,8,1.8723340893374545,3.772362739049969,1790.46,304.404,89.7,4617.528,73.38000000000001,0.0,29.29844405174763,7.660913242460193
13,S1,symptom_based_TTI,8,2.014077028793659,3.8955489614243324,1770.672,311.988,89.7,4588.152,78.768,0.0,29.799040959612235,8.244321518179955
14,S1,symptom_based_TTI,10,2.0729572210920555,3.8735491753207087,1811.124,305.112,89.43599999999999,4851.552,76.092,0.0,28.4001457665539,6.970682582313749
15,S1,symptom_based_TTI,10,1.8701022580534348,3.804692082111437,1765.0320000000002,299.196,89.388,5002.344,77.84400000000001,0.0,31.089378728479858,8.492329071746825
16,S1,symptom_based_TTI,12,1.9921681821202,3.9658952496954933,1753.944,313.596,90.14399999999999,5360.208,78.144,0.0,30.737161761277658,8.153156378225916
17,S1,symptom_based_TTI,12,2.047374614516722,4.0966966966966964,1745.268,305.028,89.28,5373.072,81.852,0.0,32.81040582950676,8.135049372449078
18,S1,symptom_based_TTI,14,2.0943080482709715,4.030035335689046,1761.78,296.85600000000005,89.604,5761.2,82.116,0.0,31.036095925306117,8.40628328312455
19,S1,symptom_based_TTI,14,1.7719779354922136,3.7701149425287355,1840.2240000000002,330.62399999999997,89.41199999999999,5976.0960000000005,78.72,0.0,33.19108061613535,8.530020090787195
20,S1,test_based_TTI,6,2.1052194468014847,3.9055023923444976,195.936,36.48,90.096,1618.656,78.36,0.0,29.859911174106067,6.26096584526886
21,S1,test_based_TTI,6,1.953414895408569,3.7029161603888214,191.4,33.888,88.96799999999999,1580.928,73.14,0.0,28.32531894304359,6.230830042846317
22,S1,test_based_TTI,8,1.9321017248509351,3.725835866261398,174.036,27.528,89.64,1853.1599999999999,73.548,0.0,29.668452550636133,5.739859400806406
23,S1,test_based_TTI,8,1.9548003554147788,3.7223898611949306,174.168,31.415999999999997,89.028,1836.384,74.016,0.0,29.372749671038992,5.774000061893494
24,S1,test_based_TTI,10,2.0351252445616663,3.837918660287081,177.456,29.412000000000003,89.676,2225.232,77.004,0.0,30.477766488697533,5.693480604417164
25,S1,test_based_TTI,10,2.014913837578223,3.9388122375524897,175.608,33.504,89.77199999999999,2187.576,78.792,0.0,32.35637784741654,6.129285745668618
26,S1,test_based_TTI,12,1.9439295747062726,3.768753874767514,178.068,33.936,89.256,2582.568,72.948,0.0,29.65477764579794,5.66652150618742
27,S1,test_based_TTI,12,1.8823379156300764,3.889223359422035,183.612,32.04,89.616,2631.192,77.52,0.0,34.35661169423032,5.644628971430955
28,S1,test_based_TTI,14,2.082919568311546,4.027312228429547,200.808,31.02,89.47200000000001,3148.008,77.85600000000001,0.0,30.54616521133588,7.042833694065282
