,strategy,gov_policy,home_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
14,S1,no_TTI,0.8,2.7870932521748872,4.824742268041237,0.0,0.0,0.0,739.584,95.472,0.0,40.32099872596335,-6.661338147750939e-18
15,S1,no_TTI,0.8,2.912746337511578,4.9805942995755,0.0,0.0,0.0,725.856,98.556,0.0,40.91857547332093,-1.3322676295501879e-18
16,S1,no_TTI,0.9,2.885526408684825,4.936374549819928,0.0,0.0,0.0,727.1519999999999,98.688,0.0,41.00055603757296,4.662936703425657e-17
17,S1,no_TTI,0.9,2.750727234781279,4.842563783447417,0.0,0.0,0.0,745.224,93.384,0.0,40.338976004477814,-8.79296635503124e-17
18,S1,no_TTI,1.0,2.797675966963676,5.035005834305718,0.0,0.0,0.0,733.7040000000001,103.56,0.0,46.017400711491135,3.730349362740526e-17
19,S1,no_TTI,1.0,3.0684037181569352,5.237507348618459,0.0,0.0,0.0,722.5440000000001,106.908,0.0,44.27574330498065,-2.2648549702353192e-17
20,S1,symptom_based_TTI,0.1,1.6963762531859763,3.402132998745295,1769.784,297.096,90.372,5774.136,65.076,0.0,24.496771877681116,8.13094315137752
21,S1,symptom_based_TTI,0.1,1.7826055558297955,3.563532401524778,1807.908,302.652,89.32799999999999,5852.496,67.30799999999999,0.0,25.07586667894928,8.56227958253752
22,S1,symptom_based_TTI,0.2,1.7733419521968303,3.6591044776119404,1706.124,292.824,88.488,5670.527999999999,73.548,0.0,29.68617583034053,8.217650930503147
23,S1,symptom_based_TTI,0.2,1.9063251054018229,3.607761194029851,1767.6599999999999,306.084,89.94000000000001,5648.280000000001,72.51599999999999,0.0,26.56513079583367,7.633734585589652
24,S1,symptom_based_TTI,0.3,1.9609251989795526,3.888888888888889,1784.76,309.63599999999997,90.288,5909.496,74.76,0.0,28.397293583884906,8.66588039093214
25,S1,symptom_based_TTI,0.3,1.937632390881953,3.9193168433451118,1775.9879999999998,316.416,90.56400000000001,5838.816,79.86,0.0,31.42697448182236,8.951827921566892
26,S1,symptom_based_TTI,0.4,2.0314127958134547,4.001786777843955,1772.8799999999999,297.048,89.628,5463.336,80.628,0.0,32.941398020782145,6.757696969168369
27,S1,symptom_based_TTI,0.4,2.1832606234085348,4.177237700059277,1762.7279999999998,307.87199999999996,89.10000000000001,5739.672,84.564,0.0,31.62764053933364,8.738431400383924
28,S1,symptom_based_TTI,0.5,2.1648260575449747,4.235011990407674,1748.1960000000001,315.084,89.58000000000001,5523.455999999999,84.768,0.0,34.172725219064965,7.2641164131147935
29,S1,symptom_based_TTI,0.5,2.0713110391994816,4.114695340501792,1847.5079999999998,324.696,89.616,5776.488,82.65599999999999,0.0,33.61901172498018,7.428492119580607
30,S1,symptom_based_TTI,0.6,2.1959630384915307,4.615815691158157,1822.884,309.75600000000003,90.53999999999999,5848.128,88.95599999999999,0.0,38.259570008273066,8.375830313918128
31,S1,symptom_based_TTI,0.6,2.1454506359251586,4.462651997683845,1801.068,318.42,90.036,5912.52,92.48400000000001,0.0,39.065352363422576,8.956328657664411
32,S1,symptom_based_TTI,0.7,2.318873969774757,4.7176470588235295,1763.616,305.808,89.94000000000001,5736.984,96.24000000000001,0.0,40.0902530679649,8.844717948630029
33,S1,symptom_based_TTI,0.7,2.291079685438585,4.660240963855422,1736.94,320.688,89.4,5691.456,92.832,0.0,38.96336145883413,8.23033120722926
34,S1,symptom_based_TTI,0.8,2.4804340496002495,5.008338296605122,1761.732,307.02,89.244,5695.272,100.908,0.0,42.764946988851946,8.167267779802184
35,S1,symptom_based_TTI,0.8,2.29321505773163,4.643115942028985,1745.148,301.212,89.64,5503.0560000000005,92.268,0.0,39.088421544681076,7.608808828075965
36,S1,symptom_based_TTI,0.9,2.4171397935858745,4.900243309002433,1811.28,297.06,89.77199999999999,5723.592,96.672,0.0,40.99613924285596,7.9905269092819085
37,S1,symptom_based_TTI,0.9,2.3913461235860645,5.0984393757503,1752.7559999999999,314.844,89.388,5591.592000000001,101.92800000000001,0.0,46.423314292986795,7.69689400428062
38,S1,symptom_based_TTI,1.0,2.4928326384513038,5.271951219512195,1779.564,288.084,90.31200000000001,5620.392,103.75200000000001,0.0,46.782947055583385,7.910106619694938
39,S1,symptom_based_TTI,1.0,2.5992662485550313,5.20048602673147,1771.056,327.828,89.088,5631.744,102.72,0.0,43.80131442229519,7.577978636245804
40,S1,test_based_TTI,0.1,1.8403182468745842,3.5495169082125604,192.552,34.8,89.52,3103.2479999999996,70.536,0.0,27.637690945998116,6.327504852110044
41,S1,test_based_TTI,0.1,1.8139382833970288,3.5160349854227406,202.128,37.692,89.41199999999999,3265.344,72.36,0.0,28.539958353092906,6.489191774596214
42,S1,test_based_TTI,0.2,1.801319583443042,3.561248527679623,189.192,38.532,89.11200000000001,3050.136,72.56400000000001,0.0,30.037152632936778,5.823159534827723
43,S1,test_based_TTI,0.2,1.936580637336451,3.6682436428149026,171.192,27.12,88.86,2860.368,74.43599999999999,0.0,29.64510932294047,5.493796384228185
44,S1,test_based_TTI,0.3,1.9792727922471496,3.925,180.684,27.672,90.05999999999999,2933.952,77.244,0.0,32.025108314172854,6.266803134403144
45,S1,test_based_TTI,0.3,2.089635938222266,3.9857566765578634,191.01600000000002,40.308,89.676,3136.872,80.592,0.0,32.49773945515097,5.841821873994769
46,S1,test_based_TTI,0.4,2.125596011230107,4.003740648379052,184.128,29.208000000000002,90.024,2947.56,77.064,0.0,29.96336369935017,6.187164276492636
