gts_0,gts_1,gts_default
1.3647327030535976,1.4544333082124477,1.3420651206843441
1.2247751361560588,1.5741314820148276,1.3920752997238948
1.2990476333322916,1.4672432322179885,1.4161569625713546
1.2281565559660572,1.5565440100035668,1.2881891317507546
1.3354769121991685,1.434656226671466,1.3990028507058785
1.3402053994151077,1.416899215817003,1.3850770099386411
1.2817904413135577,1.4701021443837394,1.4356497649137052
1.1703159513937005,1.6130510363404365,1.2524780434885256
1.195727926904546,1.5262966257543849,1.3298114787942483
1.258132507211899,1.604076826401267,1.4208058014066554
1.1856976936339172,1.5142349003273115,1.3951682757654134
1.2213734927762694,1.3890010992692483,1.3956468548212757
1.1392454747992178,1.5021908294323778,1.3449394051513963
1.268096976554505,1.4720342933786525,1.278060112664656
1.2779610574281703,1.3246257096328145,1.3478817155026213
1.227610132912353,1.6026251821186968,1.3584657836731746
1.1850901012350123,1.4839565527835687,1.2871143100371083
1.2530574792831652,1.4516932149628412,1.363729607442928
1.1623400857853328,1.4171940300928016,1.3173935748645276
1.1629759227003162,1.4399949895117983,1.4408744648976732
1.3289906408357335,1.4006283269443087,1.249547071055698
1.3553845467491952,1.3741929584173755,1.4551327140526742
1.1731184433273631,1.4994514340029084,1.348076266822057
1.2314981398251577,1.412997588775736,1.4048223845118324
1.1565346246936974,1.4260997640967568,1.383425510143798
1.2128962500548792,1.4736379360224376,1.433722356068726
1.2844750087097947,1.4882438317061215,1.3314495468988055
1.21895005671187,1.5285101657675833,1.2899659281518285
1.4032318952479772,1.4592490188560658,1.3061783341809499
1.2277709287482943,1.4053865973555717,1.4313798017361714
1.2757417810497125,1.4463850041436073,1.3724303870807428
1.2281565559660572,1.455257459853338,1.4528846263513628
1.310452275960838,1.3400954506053504,1.4691605220759503
1.3181700941414638,1.4535154247066528,1.3067819064714115
1.2754510314696597,1.6383143548275214,1.4796469869411972
1.275375857878646,1.4741607857777597,1.3610794390797605
1.1730548672220509,1.4665823284464432,1.3995793950646653
1.240911867091789,1.4535154247066528,1.3030936948751106
1.282888191810257,1.4105917804898829,1.3550649359404752
1.1915371236833512,1.362777563083227,1.2524780434885256
1.224618553943757,1.4715444767324184,1.3118240218382864
1.268549687143954,1.4464863016870675,1.2964146683968867
1.1915431237694314,1.4700339781354135,1.3980225334324379
1.2704970361460906,1.3728784050153418,1.453475621972049
1.3087313608267372,1.532103224212129,1.2473718799317146
1.3054595328023935,1.4955847307348897,1.2326632304039455
1.1883359004022545,1.592243193093415,1.4048223845118324
1.2736062260662808,1.51371775777593,1.2457477072270529
1.217666535870207,1.4770494823294242,1.3451417475355707
1.2938354944513262,1.449544764257382,1.2491878399258696
1.2217619551194612,1.591729668135696,1.3730374069653324
1.1868121868745274,1.54137714094979,1.3244272800823664
1.3289906408357335,1.514669860724567,1.3550649359404752
1.2111876961892463,1.4131848237048403,1.3394957764211812
1.2430201890209502,1.392510072987834,1.4607997608695364
1.1909024120637945,1.556463098878906,1.3642479587193332
1.2829619453465875,1.3384768988299733,1.3108797096619589
1.3839670817812246,1.5799393946911033,1.2570544968860264
1.3204375764332656,1.5799393946911033,1.4048223845118324
1.2896706536849085,1.449274509811239,1.3592992115573839
1.2451431910487634,1.4080645651688666,1.4187566278178378
1.2049540503029676,1.4312520082816067,1.332489237260332
1.27597121019666,1.3370479710609378,1.3764723254756355
1.2476518561586694,1.491274009055138,1.3131226489539884
1.2282905978630265,1.3924608126251492,1.3308801054044808
1.2664153888940057,1.355261094285783,1.322980284013459
1.213519145588828,1.4323480869111458,1.3851881722057182
1.1854776850656905,1.4548022179417235,1.3253700017866599
1.1821722474537901,1.4837261985527277,1.2761070367333183
1.2589066994735634,1.569162104011629,1.4230256989890766
1.2792267706216476,1.583910043802534,1.4378987220218868
1.2598629554761942,1.4335122000568874,1.3235090175169382
1.2719393560489072,1.4490594566291741,1.491391601339398
1.2504946337651608,1.505679716757179,1.297915722618209
1.3191213184174833,1.543976703862936,1.2883959901598059
1.1822157438596421,1.3085077616677065,1.3032571851245496
1.2760473910226027,1.4455924510914966,1.3601222234669637
1.1730236093302115,1.3926310439294085,1.3631412621419565
1.166702495289385,1.3830214172739563,1.2980983077096715
1.2766375347416385,1.4593846178617162,1.3772389996139196
1.1822157438596421,1.4024453444243428,1.375030281698785
1.2871082042098352,1.3990135609389207,1.4070808774354044
1.2874393745438844,1.3515724155763187,1.408668152923627
1.30859686754615,1.4286309530439114,1.313908254885861
1.2613017619264293,1.4317244493937762,1.305318640298331
1.2647700657304288,1.4074435809710462,1.3106259403823535
1.3117720911494224,1.4399949895117983,1.4469211052082684
1.2354984364310018,1.4930694494955294,1.3116305170585005
1.195271288123267,1.4296264066334279,1.2804577643952513
1.0914006181380889,1.4333351766888145,1.360610406736006
1.2921618887241904,1.3524462645099795,1.4356497649137052
1.208014711817097,1.4668931791511481,1.3836313612055775
1.1242663470778873,1.3416531988925127,1.469134579668516
1.152574659446854,1.4813225192999673,1.3568564947585537
1.2509357139162662,1.4317244493937762,1.3922687386190609
1.28930113850762,1.4008727987176384,1.3879635394257315
1.3096920486958123,1.4535154247066528,1.36362687547269
1.1691965769713935,1.3439387521252666,1.2473403111441184
1.2469839262684959,1.4384573275793475,1.2981639616869445
1.2938354944513262,1.5317574868149362,1.3615298484082574
