,strategy,gov_policy,most_infectious_day,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
56,S2,test_based_TTI_test_contacts,1,3.114784778540237,3.7991266375545854,163.788,25.128,212.952,1133.088,73.08,8.58,3.8760000000000003,0.708
57,S2,test_based_TTI_test_contacts,1,3.2097859327217124,3.8605504587155965,182.388,24.72,225.744,1155.6960000000001,75.744,8.232,3.8160000000000003,0.72
58,S2,test_based_TTI_test_contacts,2,2.2786099460754943,3.7309766327142,179.796,24.336000000000002,227.604,1128.504,74.724,9.192,14.28,5.6160000000000005
59,S2,test_based_TTI_test_contacts,2,2.3497332542975697,3.8263189093064613,188.232,29.844,235.944,1180.776,77.46,9.468,15.36,5.064
60,S2,test_based_TTI_test_contacts,3,1.860935524652339,3.859671302149178,167.868,23.52,222.288,1089.192,73.272,10.14,21.54,6.264
61,S2,test_based_TTI_test_contacts,3,1.9603365384615385,3.9813701923076925,175.01999999999998,27.084000000000003,226.428,1096.344,79.5,9.36,22.704,8.292
62,S2,test_based_TTI_test_contacts,4,1.631762652705061,3.8551483420593367,179.36399999999998,30.84,233.364,1117.104,79.524,9.612,30.948,5.304
63,S2,test_based_TTI_test_contacts,4,1.6763313609467456,3.896449704142012,180.972,26.724,235.548,1109.0400000000002,79.02,8.688,31.404,4.9319999999999995
64,S3,no_TTI,1,2.4379046497939965,3.9299587992937024,0.0,0.0,0.0,866.952,80.124,26.580000000000002,3.84,0.0
65,S3,no_TTI,1,2.4252199413489737,3.8346041055718474,0.0,0.0,0.0,850.5120000000001,78.456,25.08,3.7560000000000002,0.0
66,S3,no_TTI,2,2.1183048852266038,3.840494408475574,0.0,0.0,0.0,875.256,78.3,24.636000000000003,10.476,0.0
67,S3,no_TTI,2,2.1520395550061804,3.9326328800988875,0.0,0.0,0.0,843.48,76.356,22.428,12.144,0.0
68,S3,no_TTI,3,1.6838790931989924,4.005667506297229,0.0,0.0,0.0,825.4319999999999,76.332,23.880000000000003,20.363999999999997,0.0
69,S3,no_TTI,3,1.7336532693461308,3.913617276544691,0.0,0.0,0.0,817.7520000000001,78.288,25.02,18.588,0.0
70,S3,no_TTI,4,1.4142773551784669,3.8718548858981863,0.0,0.0,0.0,818.28,79.404,25.212,25.188,0.0
71,S3,no_TTI,4,1.4965397923875432,3.76239907727797,0.0,0.0,0.0,815.496,78.288,23.772,23.376,0.0
72,S3,symptom_based_TTI,1,1.9265330904675166,3.6824529447480265,1413.3600000000001,195.96,90.696,4604.04,72.78,20.652,3.8760000000000003,10.176
73,S3,symptom_based_TTI,1,2.189749847467968,4.057962172056132,1390.98,202.776,90.252,4585.176,79.812,23.076,4.176,9.492
74,S3,symptom_based_TTI,2,1.6159509202453988,3.8588957055214723,1365.2279999999998,194.68800000000002,90.16799999999999,4434.599999999999,75.48,23.424000000000003,10.596,9.852
75,S3,symptom_based_TTI,2,1.6501809408926418,4.131483715319662,1337.04,187.11599999999999,88.464,4625.808,82.2,28.236,11.388,9.744
76,S3,symptom_based_TTI,3,1.4771784232365146,4.011262596324837,1342.752,199.416,89.4,4488.576,81.204,26.088,18.06,7.152
77,S3,symptom_based_TTI,3,1.4215219976218787,3.802615933412604,1360.896,200.01600000000002,89.748,4458.072,76.752,23.172,17.939999999999998,6.948
78,S3,symptom_based_TTI,4,1.2397836538461537,3.8563701923076925,1374.096,193.128,89.184,4510.008,77.004,22.692,24.0,5.556
79,S3,symptom_based_TTI,4,1.2298716452742124,3.941656942823804,1345.404,191.004,89.388,4505.712,81.072,25.235999999999997,25.08,5.46
80,S3,test_based_TTI,1,2.241297935103245,3.6820058997050147,149.316,18.12,89.988,2601.24,74.892,24.18,4.392,0.7320000000000001
81,S3,test_based_TTI,1,2.4952267303102627,3.9630071599045347,136.668,20.363999999999997,90.072,2420.616,79.70400000000001,24.779999999999998,3.9719999999999995,0.768
82,S3,test_based_TTI,2,1.9007177033492824,3.8773923444976077,136.872,22.428,89.616,2440.272,77.79599999999999,23.232,11.148,5.279999999999999
83,S3,test_based_TTI,2,1.898876404494382,3.916026020106446,141.06,16.02,89.676,2434.056,79.464,22.907999999999998,12.036,5.9879999999999995
84,S3,test_based_TTI,3,1.4262971698113207,3.8160377358490565,172.90800000000002,22.704,89.64,2826.9120000000003,77.664,23.136,19.104,6.396
85,S3,test_based_TTI,3,1.4089569829110193,3.7094873305833826,133.812,18.048000000000002,89.22,2348.8559999999998,75.53999999999999,23.484,18.3,5.064
86,S3,test_based_TTI,4,1.2434052757793765,3.693045563549161,132.768,18.491999999999997,90.072,2331.552,73.92,22.56,22.631999999999998,3.84
87,S3,test_based_TTI,4,1.2962962962962963,3.8237753882915175,136.524,17.652,89.676,2381.3999999999996,76.812,23.856,23.843999999999998,3.072
88,S3,test_based_TTI_test_contacts,1,2.4123774509803924,4.022671568627451,149.856,23.087999999999997,202.344,1121.472,78.78,27.396,3.6119999999999997,0.528
