,strategy,gov_policy,gts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
46,S2,no_TTI,0.75,2.0711394761861555,3.9076233183856504,0.0,0.0,0.0,835.32,78.426,11.376,25.482230712943917,4.39648317751562e-17
47,S2,no_TTI,0.75,1.9961990757001915,3.832202890002949,0.0,0.0,0.0,817.968,77.97,10.146,27.209333605803945,-3.3306690738754695e-18
48,S2,no_TTI,1.0,1.946167933356857,3.825970945745627,0.0,0.0,0.0,819.6,77.42999999999999,10.596,27.447453364723955,-1.9317880628477722e-17
49,S2,no_TTI,1.0,2.011706943774684,3.9019196160767846,0.0,0.0,0.0,828.624,78.054,9.756,28.05581429673126,-1.5987211554602253e-17
50,S2,symptom_based_TTI,0.0,1.4683792767354586,3.8489722966934763,1372.68,217.764,89.544,4583.1720000000005,77.526,18.971999999999998,23.092899642641044,5.885004965353366
51,S2,symptom_based_TTI,0.0,1.5658538282956795,3.972766217870257,1371.69,219.138,89.154,4522.14,77.898,16.889999999999997,24.512959548635248,5.791778586143072
52,S2,symptom_based_TTI,0.25,1.5751166354042645,4.057228017883755,1469.994,231.54600000000002,89.916,4893.9,81.672,16.794,26.772245609240144,6.398656520072006
53,S2,symptom_based_TTI,0.25,1.4997470056809186,3.8669920683343504,1453.362,229.518,89.47200000000001,4710.6359999999995,76.056,15.876,24.513047498135702,6.1699283941320004
54,S2,symptom_based_TTI,0.5,1.6023300291417188,3.8708509354254677,1533.9180000000001,233.25,89.84400000000001,5059.164,76.96799999999999,13.65,24.478779732719907,6.978489967826161
55,S2,symptom_based_TTI,0.5,1.5679282957153857,3.745984533016062,1506.8039999999999,241.554,89.49000000000001,4892.196000000001,75.56400000000001,14.118,23.387991869208584,6.429758549620653
56,S2,symptom_based_TTI,0.75,1.497287700228751,3.819510739856802,1646.34,259.674,90.14399999999999,5223.7919999999995,76.818,12.984,26.653529489376165,7.067020283623172
57,S2,symptom_based_TTI,0.75,1.6290307937971011,3.8028293545534924,1595.76,240.504,89.46600000000001,5084.808,77.418,11.568,25.562843727958178,7.123347371920466
58,S2,symptom_based_TTI,1.0,1.6766915310089618,3.957777087860913,1687.5,262.54200000000003,89.78399999999999,5261.64,76.488,10.512,26.83281292094538,6.73944655077541
59,S2,symptom_based_TTI,1.0,1.6394686279149742,3.8489952718676124,1651.728,258.036,89.256,5196.648,78.15,11.904,26.433952220106587,6.524276758707784
60,S2,test_based_TTI,0.0,1.6424415286075351,3.894530069507404,143.526,24.486,89.37,2494.728,77.322,16.722,23.43366170564168,4.557304185384366
61,S2,test_based_TTI,0.0,1.4649787105357612,3.9244363193174894,161.082,26.598000000000003,89.748,2695.956,77.28,18.27,25.043585647839535,5.118053584290228
62,S2,test_based_TTI,0.25,1.6519575899629984,4.006520450503853,169.98000000000002,25.428,89.49600000000001,2796.864,81.10799999999999,15.977999999999998,26.21086838692709,5.476902161861974
63,S2,test_based_TTI,0.25,1.513402582565273,3.978856462179869,163.54199999999997,28.266000000000002,89.7,2755.332,80.166,17.832,26.675923524540888,5.166041241934005
64,S2,test_based_TTI,0.5,1.6127747962845476,3.9728052024830034,172.11,25.698,89.68199999999999,2813.34,80.64,15.407999999999998,26.663819759642642,5.832077425373605
