,go_to_school_prob,wfh_prob,isolate_individual_on_symptoms,isolate_individual_on_positive,isolate_household_on_symptoms,isolate_household_on_positive,isolate_contacts_on_symptoms,isolate_contacts_on_positive,test_contacts_on_positive,do_symptom_testing,do_manual_tracing,do_app_tracing,max_contacts,quarantine_length,# App Traces
36,0.4335814645677737,0.28139044078739406,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
37,0.04046772892234496,0.6096344938013584,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,0.6507
38,0.2957877053451513,0.6200137115189981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.714
39,0.34322758994077707,0.25923790257168866,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
40,0.11208400759678083,0.7487246798905014,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,0.0
41,0.18900587605315533,0.8350286444847037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0
42,0.7366945331843114,0.6164266361229387,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,14.0,0.1022
43,0.45838475305902626,0.7794305428924772,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0
44,0.8016460813138637,0.6052865610861795,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,0.1049
45,0.3233202242807326,0.07880072872793276,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,0.0
46,0.36279943468260445,0.9114016967885658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0
47,0.09898670165537748,0.9548701715769787,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0
48,0.317861899034669,0.46030979937057115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,14.0,0.967
49,0.72320854766538,0.5849338748500161,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,14.0,2.9271
50,0.21547248330021962,0.39116535747947556,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0826
51,0.6033327770320556,0.5975694205159051,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,0.0
52,0.21601544493625346,0.21183242616697961,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0
53,0.859770250560251,0.3103861481499397,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,14.0,0.1171
54,0.7485204001673482,0.5831144149696709,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,14.0,0.9404
