,strategy,gov_policy,at,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,True,2.293166882613695,3.8250746268656717,0.0,0.0,89.556,830.136,76.884,0.0,30.79134565946473,2.6645352591003758e-18
1,S1,no_TTI,True,2.374547437223805,3.9120679199514856,0.0,0.0,89.868,800.184,77.412,0.0,30.424455312215343,-2.6645352591003758e-18
2,S1,no_TTI,False,2.3864395006810097,4.052631578947368,0.0,0.0,0.0,809.2560000000001,81.312,0.0,33.43047785833621,-2.531308496145357e-17
3,S1,no_TTI,False,2.360608786189589,3.7955768081291095,0.0,0.0,0.0,836.712,76.2,0.0,28.8084180084578,4.130029651605582e-17
4,S1,symptom_based_TTI,True,1.8700532670702608,3.962717979555021,1776.18,316.404,89.652,5642.736,79.08,0.0,33.846456992130555,7.914760010215284
5,S1,symptom_based_TTI,True,2.000964021742998,3.7724550898203595,1761.6480000000001,307.092,89.184,5521.991999999999,75.6,0.0,28.274296283511088,7.226384720759203
6,S1,symptom_based_TTI,False,1.8359951884950132,3.9419588875453444,1774.836,0.0,90.31200000000001,5493.144,78.24000000000001,0.0,34.2518371216645,7.547330377086467
7,S1,symptom_based_TTI,False,1.927738763374928,4.019439679817038,1745.412,0.0,89.196,5522.88,84.36,0.0,36.40778028126292,7.492838553024077
8,S1,test_based_TTI,True,2.1094457000413063,4.0498798076923075,199.128,33.827999999999996,89.42399999999999,3177.936,80.86800000000001,0.0,32.06696080641154,6.67962745516355
9,S1,test_based_TTI,True,2.016860862202482,3.8776223776223775,179.61599999999999,30.252,89.16,2918.3280000000004,79.848,0.0,32.400773875152304,5.916027250374135
10,S1,test_based_TTI,False,2.0635422387952156,3.72579637726421,174.39600000000002,0.0,89.83200000000001,2754.9840000000004,71.58,0.0,26.834142515692466,5.10108399257377
11,S1,test_based_TTI,False,2.1395274246923632,4.086412395709178,204.936,0.0,89.43599999999999,3127.272,82.28399999999999,0.0,32.97664667367037,6.225829102724188
12,S1,test_based_TTI_test_contacts,True,2.0101076283658084,3.977493917274939,194.628,38.736,250.248,1159.848,78.468,0.0,32.3185345168724,6.494062190726862
13,S1,test_based_TTI_test_contacts,True,2.162767300401404,3.961094224924012,175.932,33.168,233.28,1111.224,78.192,0.0,29.699037697733058,5.79993579234319
14,S1,test_based_TTI_test_contacts,False,2.1569932360164064,4.034819792302994,188.4,0.0,234.99599999999998,1133.6399999999999,79.25999999999999,0.0,30.780428620961743,6.107596250731921
15,S1,test_based_TTI_test_contacts,False,2.101455239037331,4.135540287320425,191.004,0.0,238.23600000000002,1106.304,79.452,0.0,33.17864840770248,5.900193539912272
16,S2,no_TTI,True,2.000843887522243,3.7191489361702126,0.0,0.0,89.7,834.312,73.416,8.268,25.651341660310905,1.865174681370263e-17
17,S2,no_TTI,True,2.034570399988112,3.912291169451074,0.0,0.0,89.34,817.5360000000001,78.684,9.96,27.80472011543908,-2.2648549702353192e-17
18,S2,no_TTI,False,1.9491510880421794,4.044632768361582,0.0,0.0,0.0,835.368,85.908,13.044,31.464030889984095,1.3322676295501879e-18
19,S2,no_TTI,False,2.018990731619378,4.103257529194837,0.0,0.0,0.0,817.8480000000001,80.112,13.128,27.565224955863243,-2.6645352591003756e-17
20,S2,symptom_based_TTI,True,1.606534250759546,3.9186189889025895,1683.06,257.412,89.616,5308.128,76.272,9.408,28.574315221791235,7.020102121424985
21,S2,symptom_based_TTI,True,1.697202990510411,3.9709302325581395,1712.9279999999999,269.772,90.408,5614.6320000000005,81.96000000000001,10.020000000000001,29.11443586095054,7.795294414914561
22,S2,symptom_based_TTI,False,1.712061380928661,3.8513203214695753,1620.312,0.0,89.12400000000001,5334.672,80.50800000000001,8.927999999999999,27.745188473181777,8.045880419885487
23,S2,symptom_based_TTI,False,1.6885200249160972,3.9004825090470447,1632.852,0.0,89.232,4925.544,77.60400000000001,10.188,27.919319135234232,5.901886449035098
24,S2,test_based_TTI,True,1.7620810093478656,3.736714975845411,179.472,27.372,90.67200000000001,2895.84,74.256,8.136,25.739452622633465,5.364473559605727
25,S2,test_based_TTI,True,1.8851147065320795,3.9525547445255476,180.768,28.343999999999998,89.41199999999999,2916.7200000000003,77.976,8.052000000000001,27.16156764264892,5.572889426886177
26,S2,test_based_TTI,False,1.7211360754685008,3.852034525277435,169.392,0.0,88.8,2713.4880000000003,74.976,12.804,24.02866494716075,4.643142479920303
27,S2,test_based_TTI,False,1.7805154807491503,3.790332326283988,167.22,0.0,89.16,2699.8559999999998,75.276,9.204,25.47556622772597,5.235396324595874
28,S2,test_based_TTI_test_contacts,True,1.773571075333098,3.865581675708258,176.292,30.804,230.42399999999998,1121.784,76.956,9.780000000000001,26.33337849148724,5.5343685407814
29,S2,test_based_TTI_test_contacts,True,1.7451322425149662,3.828228228228228,167.58,25.644,223.20000000000002,1107.096,76.488,8.208,28.375405448444557,5.036852346106371
30,S2,test_based_TTI_test_contacts,False,1.7728596457064623,3.986573263280794,200.784,0.0,245.196,1173.096,81.948,10.188,29.411809006172945,5.9052881166849955
31,S2,test_based_TTI_test_contacts,False,1.8189514023672195,3.902019002375297,189.40800000000002,0.0,236.556,1111.968,78.852,8.664,27.559157005472034,5.8714730554911725
32,S3,no_TTI,True,1.4483765635554706,3.6095003084515733,0.0,0.0,88.836,824.328,70.21199999999999,22.284,19.754179085718977,-6.661338147750939e-18
33,S3,no_TTI,True,1.5865202329522752,4.007308160779537,0.0,0.0,90.132,812.592,78.96000000000001,25.428,22.271205329908348,2.2648549702353192e-17
34,S3,no_TTI,False,1.5992052925355442,4.026722090261282,0.0,0.0,0.0,857.16,81.372,23.496,25.559259448441694,0.0
35,S3,no_TTI,False,1.7058246053496353,3.811090798293723,0.0,0.0,0.0,845.232,75.048,21.695999999999998,19.76090187145498,-1.865174681370263e-17
36,S3,symptom_based_TTI,True,1.2579740613625743,3.888820638820639,1374.468,195.34799999999998,89.79599999999999,4453.32,75.972,26.4,19.410774888436897,5.5854438487838545
37,S3,symptom_based_TTI,True,1.2454881173836057,3.7474320241691843,1320.48,194.55599999999998,89.592,4188.096,74.42399999999999,23.556,21.393290322023606,4.739315666737992
38,S3,symptom_based_TTI,False,1.3327656858783188,3.861885002963841,1378.236,0.0,89.64,4378.104,78.17999999999999,23.112,22.5002749963078,5.587216458771531
39,S3,symptom_based_TTI,False,1.3363715442014112,3.8763505402160865,1338.372,0.0,89.076,4245.240000000001,77.49600000000001,24.288,21.525786627654973,4.9654734606704185
40,S3,test_based_TTI,True,1.424861785321582,4.024173027989822,146.688,21.072,90.096,2491.7520000000004,75.912,22.428,21.872175156235812,4.7332321254578655
41,S3,test_based_TTI,True,1.3306879376826062,3.9220630372492837,148.98000000000002,24.708,88.692,2544.576,82.128,26.064,23.37903303549226,4.820361549433975
42,S3,test_based_TTI,False,1.4633390533714026,3.8527397260273974,165.792,0.0,89.48400000000001,2651.52,81.0,23.82,21.74529599076736,4.6694637511522386
43,S3,test_based_TTI,False,1.3019789984838683,3.839779005524862,123.216,0.0,89.68799999999999,2209.392,75.05999999999999,25.776,19.653884049545837,4.1790304880915246
44,S3,test_based_TTI_test_contacts,True,1.3239520094690762,3.8419489007724303,134.16000000000003,17.844,194.028,1039.56,77.592,25.919999999999998,20.539869606202437,4.3935956105601095
45,S3,test_based_TTI_test_contacts,True,1.4014723865727428,4.080425783560024,150.264,19.944,208.18800000000002,1090.8,82.8,26.184,23.798453734487456,4.378868597178438
46,S3,test_based_TTI_test_contacts,False,1.3341865036671516,3.8728358208955225,134.004,0.0,193.84799999999998,1038.4560000000001,77.84400000000001,25.752000000000002,21.438196621086288,3.8366546552039544
47,S3,test_based_TTI_test_contacts,False,1.3431505174582403,4.004234724742892,149.016,0.0,204.864,1070.04,79.42800000000001,26.148,22.119084192307813,4.518182143390523
48,S4,no_TTI,True,1.1277035142171383,3.7943396226415094,0.0,0.0,90.288,814.9200000000001,72.39599999999999,35.891999999999996,14.987416948737001,3.4638958368304884e-17
49,S4,no_TTI,True,1.1090303797538974,3.861612515042118,0.0,0.0,89.79599999999999,828.7679999999999,77.016,37.848,17.049498106188267,3.064215547965432e-17
50,S4,no_TTI,False,1.1250258678608323,3.935388263189093,0.0,0.0,0.0,804.216,79.668,41.064,15.828976331025311,-5.195843755245732e-17
51,S4,no_TTI,False,1.1161694253388554,3.786627906976744,0.0,0.0,0.0,822.264,78.156,38.556,16.56226306100602,-2.398081733190338e-17
52,S4,symptom_based_TTI,True,0.9011017949798846,4.02989449003517,955.884,127.87200000000001,89.736,3440.16,82.5,42.408,17.27306616274762,4.371577890424184
53,S4,symptom_based_TTI,True,0.9755100546899786,3.9190858554663373,934.992,124.704,89.94000000000001,3221.496,76.14,37.704,15.758650343969524,3.725140313513576
54,S4,symptom_based_TTI,False,0.9112155880630105,3.7555970149253732,943.08,0.0,90.624,3254.256,72.468,35.147999999999996,15.930706197956786,3.8064778147793725
55,S4,symptom_based_TTI,False,0.875511654501267,3.8843416370106763,961.3199999999999,0.0,90.336,3334.9919999999997,78.58800000000001,41.316,15.576423525695285,3.9822246804350865
56,S4,test_based_TTI,True,0.9859465161914881,3.7439446366782008,92.616,12.648,88.812,1869.264,77.904,37.992,16.510562771167024,2.8858621199205152
57,S4,test_based_TTI,True,0.9444993681519648,3.7714460784313726,104.904,15.251999999999999,90.0,2023.368,73.86,35.532,16.76046744636445,3.070456927747477
58,S4,test_based_TTI,False,0.9258113241346853,3.9840490797546013,117.576,0.0,89.48400000000001,2137.92,77.928,40.332,16.248812879887087,3.2383176200384765
59,S4,test_based_TTI,False,1.021189629672121,3.828861061419201,96.504,0.0,88.416,1887.672,77.052,38.028,15.586925163884494,2.886654728593761
60,S4,test_based_TTI_test_contacts,True,0.9452649087539691,3.5343653250773994,84.528,13.691999999999998,156.42000000000002,945.384,68.496,33.528,13.934568016929445,2.7141980514186463
61,S4,test_based_TTI_test_contacts,True,1.084038144430606,3.849182313749243,99.096,13.872,167.544,980.4480000000001,76.25999999999999,35.064,16.84659222812322,2.872444054417624
62,S4,test_based_TTI_test_contacts,False,0.9613645876405936,3.7423789599521817,103.428,0.0,169.584,996.744,75.132,35.328,17.555440580645236,2.9482039578822223
63,S4,test_based_TTI_test_contacts,False,1.0422764012039483,3.9987775061124693,102.0,0.0,168.0,979.68,78.504,38.592,16.53696616056317,2.9130635310009425
64,S5,no_TTI,True,0.73377761136631,4.098370549185274,0.0,0.0,89.43599999999999,838.1759999999999,81.492,53.675999999999995,13.22556597559229,3.4638958368304884e-17
65,S5,no_TTI,True,0.7582164723024377,3.7536829699469654,0.0,0.0,89.80799999999999,815.0160000000001,76.44,50.268,10.731679758033156,9.325873406851316e-18
66,S5,no_TTI,False,0.7176936875575095,4.1197141155449675,0.0,0.0,0.0,815.88,83.00399999999999,57.072,11.471907583091298,1.0658141036401503e-17
67,S5,no_TTI,False,0.8063608760878133,3.7094361334867663,0.0,0.0,0.0,823.0559999999999,77.364,48.384,12.162537568312564,3.996802888650563e-18
68,S5,symptom_based_TTI,True,0.6974446456142386,4.034117647058824,515.652,80.73599999999999,90.036,2380.632,82.29599999999999,51.42,13.60516977020933,3.0429594592602025
69,S5,symptom_based_TTI,True,0.6822294665894933,4.035169988276671,508.20000000000005,66.876,89.352,2164.128,82.608,53.616,13.02947824294197,1.995920117037924
70,S5,symptom_based_TTI,False,0.6964478526623887,3.9664902998236333,519.072,0.0,89.736,2153.2799999999997,80.964,52.812,12.03267446583457,1.9034319656207548
