,strategy,gov_policy,other_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.1,3.091747497823418,5.35588056063376,0.0,0.0,0.0,800.0160000000001,105.468,0.0,44.58530827286127,-1.0658141036401503e-17
1,S1,no_TTI,0.1,3.375322750623309,5.523276370064821,0.0,0.0,0.0,812.184,112.476,0.0,43.74092750630694,-1.865174681370263e-17
2,S1,no_TTI,0.2,4.4748007033049095,7.507125890736342,0.0,0.0,0.0,832.56,151.704,0.0,61.27722738761442,5.595524044110789e-17
3,S1,no_TTI,0.2,4.947630039706708,7.924324324324324,0.0,0.0,0.0,836.352,158.32799999999997,0.0,59.47435180665999,-1.6786572132332367e-16
4,S1,no_TTI,0.3,6.102889622674645,9.937350835322196,0.0,0.0,0.0,832.224,199.85999999999999,0.0,77.11868390876757,3.3306690738754695e-17
5,S1,no_TTI,0.3,6.318708255712603,10.592414208308249,0.0,0.0,0.0,827.88,211.12800000000001,0.0,85.18350704713642,-3.3306690738754695e-17
6,S1,no_TTI,0.4,7.98148593456073,12.9700488997555,0.0,0.0,0.0,813.8639999999999,254.62800000000001,0.0,97.93546813270376,2.1316282072803006e-17
7,S1,no_TTI,0.4,8.472503985295406,13.532004830917874,0.0,0.0,0.0,816.576,268.908,0.0,100.54240080420972,2.1449508835758024e-16
8,S1,no_TTI,0.5,9.993424465793373,16.287266143633072,0.0,0.0,0.0,815.088,323.856,0.0,125.14674792216461,-5.995204332975844e-17
9,S1,no_TTI,0.5,8.858723699517066,14.100784550392275,0.0,0.0,0.0,802.4639999999999,280.38,0.0,104.23313795880266,-3.9968028886505634e-17
10,S1,symptom_based_TTI,0.1,2.9155346979068257,5.54422964264792,1790.028,319.81199999999995,88.836,5862.9839999999995,113.568,0.0,42.97620653943266,10.869980708643906
11,S1,symptom_based_TTI,0.1,2.606829555433709,4.961538461538462,1774.824,302.928,90.16799999999999,5703.168000000001,97.524,0.0,37.10940933920917,9.1747489191858
12,S1,symptom_based_TTI,0.2,4.0835545996919,8.3983101991551,1790.748,308.964,89.52,5879.592000000001,166.992,0.0,69.0301251632008,16.764475176525412
13,S1,symptom_based_TTI,0.2,3.7757224261629667,7.707423580786026,1803.24,320.16,89.868,5745.911999999999,148.26,0.0,60.55886229674961,15.071341113579575
14,S1,symptom_based_TTI,0.3,5.690243341307101,11.05073349633252,1764.468,316.596,90.084,5595.768,216.948,0.0,85.90452111873263,19.33262160472645
15,S1,symptom_based_TTI,0.3,5.073198303698712,10.095719381688466,1805.568,319.704,89.82000000000001,5964.96,203.772,0.0,80.38917912861156,20.985386309533652
16,S1,symptom_based_TTI,0.4,7.1472881457788,13.091124260355029,1734.504,299.664,89.088,5523.936000000001,265.488,0.0,98.15800543248046,22.382990971125423
17,S1,symptom_based_TTI,0.4,6.510350382141054,12.376226197345643,1806.504,317.08799999999997,89.268,5785.632,257.376,0.0,95.4781054537254,26.50864799926925
18,S1,symptom_based_TTI,0.5,8.161896841664158,15.497509339975094,1786.6799999999998,314.124,89.628,5719.08,298.668,0.0,112.36662694736893,29.005297120079536
19,S1,symptom_based_TTI,0.5,8.769091949887859,16.55266272189349,1762.872,309.61199999999997,89.592,5605.031999999999,335.688,0.0,125.36722246547811,32.483592790796195
20,S1,test_based_TTI,0.1,2.897252407682603,5.473653734800232,202.332,36.42,89.77199999999999,3219.768,113.436,0.0,44.68495364795957,8.708387455226118
21,S1,test_based_TTI,0.1,2.7285525759460585,5.44797507788162,181.428,37.391999999999996,89.976,2967.696,104.928,0.0,43.41044420551856,8.965633181760296
22,S1,test_based_TTI,0.2,4.0153575904626155,7.501569365976145,196.464,35.76,89.41199999999999,3112.8,143.4,0.0,54.83560389453974,11.806820406176913
23,S1,test_based_TTI,0.2,4.316772498836368,8.38895486935867,205.38,35.82,89.49600000000001,3245.88,169.524,0.0,69.03483651631234,13.255824827202282
24,S1,test_based_TTI,0.3,5.905527917084121,11.06820877817319,203.868,31.235999999999997,89.28,3175.3920000000003,223.93200000000002,0.0,88.03408624876815,16.41727293278595
25,S1,test_based_TTI,0.3,5.554265508132839,10.754497968659315,218.46,35.952,90.58800000000001,3440.088,222.35999999999999,0.0,88.96574336527483,18.554262988570684
26,S1,test_based_TTI,0.4,7.033532466898376,13.116113744075829,174.27599999999998,26.868,89.85600000000001,2897.88,265.68,0.0,105.37308402980169,17.835682320705107
27,S1,test_based_TTI,0.4,7.553555803745438,13.653169014084508,179.736,28.248,89.508,2943.0480000000002,279.17999999999995,0.0,106.0694359186854,18.65545500632799
28,S1,test_based_TTI,0.5,8.613545029363287,17.3290831815422,195.048,32.507999999999996,89.976,3107.304,342.49199999999996,0.0,145.99542557735768,26.25847046230638
29,S1,test_based_TTI,0.5,8.77069198506072,15.441902468392534,185.1,32.808,89.7,3008.376,307.788,0.0,109.45108478643559,23.519482567334446
30,S1,test_based_TTI_test_contacts,0.1,2.883874696640671,5.328988206083178,193.5,36.66,244.14,1132.5359999999998,103.02000000000001,0.0,39.009207013349275,8.259727351193249
31,S1,test_based_TTI_test_contacts,0.1,2.765632566507446,5.457949662369552,165.588,25.86,221.496,1088.856,106.69200000000001,0.0,45.32925241407606,7.300162175836334
32,S1,test_based_TTI_test_contacts,0.2,4.327140368111312,7.960845245494096,187.332,30.732,235.968,1133.016,153.708,0.0,57.43585559937353,12.723718173133213
33,S1,test_based_TTI_test_contacts,0.2,4.497135413029369,8.11310592459605,197.148,35.796,244.71599999999998,1156.44,162.684,0.0,60.36868875190032,12.138751946034724
