,strategy,gov_policy,n_cases,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,10000,2.4071079941715494,3.8222113979542134,0.0,0.0,0.0,812.1360000000001,94.16399999999999,0.0,34.86248745558971,-2.6645352591003756e-17
1,S1,no_TTI,10000,2.222288349983083,3.4591419816138917,0.0,0.0,0.0,790.752,81.276,0.0,29.061112928797463,7.993605777301126e-18
2,S1,no_TTI,20000,2.4667520832343257,3.8456913827655312,0.0,0.0,0.0,793.74,92.112,0.0,33.02835410237146,-1.9984014443252817e-17
3,S1,no_TTI,20000,2.401349734436058,3.668713225888974,0.0,0.0,0.0,798.108,86.04599999999999,0.0,29.724743328536743,-2.19824158875781e-17
4,S1,no_TTI,30000,2.3529898427209863,3.6452905811623246,0.0,0.0,0.0,803.24,87.312,0.0,30.95318728714694,2.3092638912203255e-17
5,S1,no_TTI,30000,2.355758540812773,3.730820325473265,0.0,0.0,0.0,805.5039999999999,89.868,0.0,33.12248826890195,6.217248937900877e-18
6,S1,no_TTI,40000,2.3424202064851656,3.660718742201148,0.0,0.0,0.0,796.65,88.011,0.0,31.694533395683628,-3.3306690738754697e-19
7,S1,no_TTI,40000,2.3364344606663736,3.6404367469879517,0.0,0.0,0.0,807.534,87.021,0.0,31.170870652231024,8.326672684688674e-18
8,S1,no_TTI,50000,2.3731471609850505,3.638426626323752,0.0,0.0,0.0,784.8720000000001,86.58,0.0,30.108590157199725,-1.0658141036401504e-18
9,S1,no_TTI,50000,2.3440886968555303,3.627954779033916,0.0,0.0,0.0,800.1696,84.72,0.0,29.980840751029653,-1.3322676295501879e-18
10,S1,symptom_based_TTI,10000,1.986234155150264,3.5407662082514735,1731.432,310.84799999999996,86.508,5689.296,86.508,0.0,29.88146438340114,8.098862737967554
11,S1,symptom_based_TTI,10000,2.052551612221358,3.6500746640119464,1724.8680000000002,309.38399999999996,86.112,5639.424,87.996,0.0,31.006152292278056,7.506933440289388
12,S1,symptom_based_TTI,20000,2.0102985173136196,3.7310840982386506,1759.806,310.27799999999996,86.388,5875.536,90.24,0.0,32.86107837092549,8.75784168932732
13,S1,symptom_based_TTI,20000,2.036011975475415,3.6191304347826088,1732.2659999999998,287.658,86.586,5561.3640000000005,87.402,0.0,30.70474993899171,7.527560853277034
14,S1,symptom_based_TTI,30000,1.9514633109508321,3.5677673730901924,1700.7240000000002,287.408,86.132,5472.184,86.868,0.0,32.00951408986508,7.3442572151040935
15,S1,symptom_based_TTI,30000,2.0326101120842357,3.7235690235690235,1681.06,299.74399999999997,86.32000000000001,5569.687999999999,88.472,0.0,32.27817407548908,7.899009661389508
16,S1,symptom_based_TTI,40000,2.0396209685958206,3.729942514371407,1698.327,297.987,86.47800000000001,5625.366,89.541,0.0,32.53524640615852,8.042612621730315
17,S1,symptom_based_TTI,40000,2.054049707293203,3.7013501796110493,1756.53,305.184,86.652,5839.8,89.643,0.0,31.502371911280054,8.39359822778601
18,S1,symptom_based_TTI,50000,2.0273554903287048,3.647183525136281,1700.184,295.41839999999996,86.61359999999999,5567.596799999999,86.7096,0.0,30.724380441281664,7.78605918944773
19,S1,symptom_based_TTI,50000,2.017115739010607,3.6936981923499452,1717.3392,297.7368,86.3472,5666.256,88.76400000000001,0.0,32.34645378780388,7.943834464884595
20,S1,test_based_TTI,10000,2.192493967501323,3.642745709828393,175.056,26.676,86.232,2821.7039999999997,84.06,0.0,27.81775197905326,5.648257226886108
21,S1,test_based_TTI,10000,2.0963201223552255,3.5424242424242425,169.884,31.02,86.55600000000001,2777.928,84.168,0.0,28.79382461458815,5.5656092782516104
22,S1,test_based_TTI,20000,2.017520084042511,3.510198942331906,179.742,31.608000000000004,86.292,2919.66,83.634,0.0,29.940122721283313,5.624443756319842
23,S1,test_based_TTI,20000,2.075122943403731,3.686029043565348,188.118,30.408,86.85,3025.824,88.332,0.0,32.41134413640919,6.1924096478638235
24,S1,test_based_TTI,30000,2.1539857384788403,3.7010896898575023,184.288,30.991999999999997,86.21600000000001,2950.96,88.30799999999999,0.0,30.874065801394824,6.039834478500223
25,S1,test_based_TTI,30000,2.0481899902507483,3.5718582887700534,198.912,33.644,86.844,3151.288,85.49600000000001,0.0,30.198067941687686,6.272456451670603
26,S1,test_based_TTI,40000,2.121943020621035,3.663279387780705,188.079,32.067,86.385,3004.5539999999996,87.6,0.0,30.97100670796126,5.886969839928152
27,S1,test_based_TTI,40000,2.152308594167052,3.7062618595825425,192.39000000000001,34.977,86.64,3082.194,87.894,0.0,30.50149308049519,6.350508608833361
28,S1,test_based_TTI,50000,2.110309532372925,3.638624653190646,188.28719999999998,31.135200000000005,86.6424,3021.0432,88.1304,0.0,30.99885860030308,6.018156277999085
29,S1,test_based_TTI,50000,2.050638960192384,3.6107874648453193,194.736,33.633599999999994,86.7216,3101.3088,86.27759999999999,0.0,31.15964240792963,6.119170021649755
30,S1,test_based_TTI_test_contacts,10000,1.9053836375152668,3.4774549098196395,170.364,29.448,225.852,1088.568,83.292,0.0,31.881769824764355,5.772481289469878
31,S1,test_based_TTI_test_contacts,10000,2.080373395148786,3.6292300147130945,210.168,31.535999999999998,255.14399999999998,1151.808,88.8,0.0,31.582281671835474,6.315142095663978
32,S1,test_based_TTI_test_contacts,20000,2.1178042430039365,3.690104832523651,196.26,31.734,244.554,1137.0720000000001,86.592,0.0,30.634119377505463,6.261486256164226
33,S1,test_based_TTI_test_contacts,20000,2.0408414073372896,3.536134033508377,184.932,32.346000000000004,237.012,1108.4759999999999,84.84599999999999,0.0,29.754258097811476,6.123793174537661
34,S1,test_based_TTI_test_contacts,30000,2.074248856964627,3.6715135492399207,187.964,32.188,238.988,1133.432,88.88000000000001,0.0,32.498001757184035,6.1685819134164515
35,S1,test_based_TTI_test_contacts,30000,2.0559263230063296,3.6055183946488296,190.248,34.724,240.34799999999998,1110.3680000000002,86.244,0.0,30.709672359485708,6.3565699942030385
36,S1,test_based_TTI_test_contacts,40000,2.079779292681642,3.5811696496092766,183.222,31.131,235.236,1113.45,85.239,0.0,29.743760895548117,5.99233238004362
37,S1,test_based_TTI_test_contacts,40000,2.096610473706731,3.642125,184.18200000000002,30.699,236.193,1116.312,87.411,0.0,31.04526645436128,6.047082176677408
38,S1,test_based_TTI_test_contacts,50000,2.1184586590320063,3.6235446313065975,191.43599999999998,32.472,241.3176,1124.3472,87.3912,0.0,30.129087720041035,6.169973724888982
39,S1,test_based_TTI_test_contacts,50000,2.106228213452103,3.668047277502778,185.2008,32.2632,236.7144,1109.1072,87.14399999999999,0.0,30.89829128180623,6.20678131428436
40,S2,no_TTI,10000,1.9885552159525846,3.620019920318725,0.0,0.0,0.0,797.52,87.228,11.46,27.851773516406514,2.9309887850104134e-17
41,S2,no_TTI,10000,2.0088386944514705,3.664103796251802,0.0,0.0,0.0,800.592,91.5,13.632000000000001,27.703280122157874,-3.8635761256955445e-17
42,S2,no_TTI,20000,2.034802029727509,3.7036672409549594,0.0,0.0,0.0,824.88,90.288,12.906,27.77759611930284,1.4654943925052067e-17
43,S2,no_TTI,20000,2.073918785917912,3.6234288587229764,0.0,0.0,0.0,791.5799999999999,86.484,11.34,25.64370641771133,1.3988810110276973e-17
44,S2,no_TTI,30000,2.012310175127371,3.6135912698412698,0.0,0.0,0.0,814.552,87.42,11.58,27.158192243318627,-1.7319479184152442e-17
45,S2,no_TTI,30000,1.9912532609177498,3.550527390268799,0.0,0.0,0.0,787.952,83.48,10.704,25.957653329301856,1.2878587085651817e-17
46,S2,no_TTI,40000,2.0094771882100604,3.6008054366977094,0.0,0.0,0.0,791.5799999999999,85.83600000000001,11.058,26.876082787448578,-2.331468351712829e-18
47,S2,no_TTI,40000,1.9837202641516407,3.58116434050044,0.0,0.0,0.0,805.29,85.443,11.283,26.83041821760598,-6.661338147750939e-18
48,S2,no_TTI,50000,1.9629047608554682,3.6724243663123466,0.0,0.0,0.0,800.4287999999999,86.23440000000001,13.0368,27.105455567496218,-1.1723955140041653e-17
49,S2,no_TTI,50000,2.000487844789645,3.5848963474827245,0.0,0.0,0.0,805.6224,87.15599999999999,11.0808,27.43933951747414,-6.9277916736609765e-18
50,S2,symptom_based_TTI,10000,1.6988525825450842,3.5244267198404784,1638.636,242.71200000000002,87.18,5223.7919999999995,84.83999999999999,10.62,26.178288614339046,7.146932018635615
51,S2,symptom_based_TTI,10000,1.7388704614296644,3.73587786259542,1648.752,261.204,86.856,5419.871999999999,88.092,11.46,28.05949269209361,7.569941827394865
52,S2,symptom_based_TTI,20000,1.6833472773339355,3.5749625187406298,1578.066,251.472,86.44200000000001,5098.776,85.842,12.959999999999999,25.84208073363981,6.619384443017763
53,S2,symptom_based_TTI,20000,1.691851285172325,3.548816568047337,1594.218,248.304,86.358,5118.612,86.364,11.49,27.059118135563292,6.64198898848307
54,S2,symptom_based_TTI,30000,1.7213077873028826,3.580949231023648,1588.76,241.396,86.28,5105.504,86.616,10.863999999999999,27.312858798867374,6.804148441850558
55,S2,symptom_based_TTI,30000,1.7373260808069586,3.6238850346878095,1616.184,254.176,86.256,5326.136,87.756,11.372,26.911481520279153,7.4014301068996
56,S2,symptom_based_TTI,40000,1.7698864787447546,3.602905874921036,1598.745,251.955,85.887,5174.196,85.551,10.308,26.339436656137593,6.877608906068317
