,strategy,gov_policy,max_contacts,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
14,S1,no_TTI,16,2.2129434122836322,3.7471743010113028,0.0,0.0,0.0,839.376,75.58800000000001,2.3160000000000003,28.632505487414534,1.3322676295501878e-17
15,S1,no_TTI,16,2.2783883550705077,3.871024734982332,0.0,0.0,0.0,837.408,78.876,2.076,30.37555887708331,-3.9968028886505634e-17
16,S1,no_TTI,18,2.189975956297294,3.6682436428149026,0.0,0.0,0.0,828.6,74.43599999999999,2.1599999999999997,27.837007894815308,4.39648317751562e-17
17,S1,no_TTI,18,2.227182742710308,3.903300521134916,0.0,0.0,0.0,854.136,80.89200000000001,1.272,33.463864840071565,2.6645352591003758e-18
18,S1,no_TTI,20,2.475035128763843,3.9748157248157248,0.0,0.0,0.0,832.344,77.652,0.8999999999999999,28.399713724469546,7.993605777301126e-18
19,S1,no_TTI,20,2.3296090930106037,4.026722090261282,0.0,0.0,0.0,857.16,81.372,1.608,32.687259448441715,2.6645352591003756e-17
20,S1,symptom_based_TTI,2,1.4905525640702766,3.7891392258809935,1436.6640000000002,223.716,88.572,4756.896,78.708,15.924000000000001,25.884867069082368,5.937375070049843
21,S1,symptom_based_TTI,2,1.4854746800772516,3.950337216431637,1424.0159999999998,232.248,90.53999999999999,4713.432,77.316,17.099999999999998,24.784932781753888,6.357356779774119
22,S1,symptom_based_TTI,4,1.7317785673237451,4.075757575757576,1607.6879999999999,256.848,90.12,5105.639999999999,80.7,11.772,27.920135756363372,6.718648610626476
23,S1,symptom_based_TTI,4,1.7044270590363126,3.9188690842040566,1597.2720000000002,270.91200000000003,89.652,5096.304,76.512,9.744,27.401952593766065,6.088813505608949
24,S1,symptom_based_TTI,6,1.7125256983752803,3.742857142857143,1591.02,264.3,87.972,5082.408,75.456,8.232,25.880255791350553,6.819226129403775
25,S1,symptom_based_TTI,6,1.7923174003020088,3.889216263995286,1685.808,278.844,90.15599999999999,5401.008,79.2,8.244,27.277611723840508,7.179636736409335
26,S1,symptom_based_TTI,8,1.6968194999395714,3.8989394884591393,1683.18,290.304,89.868,5363.9039999999995,75.0,4.824,30.582862296749614,6.953117802412779
27,S1,symptom_based_TTI,8,1.837971029744395,3.86099706744868,1624.3319999999999,267.06,89.064,5275.3679999999995,78.996,5.22,28.594043841384746,7.577068890044909
