,strategy,gov_policy,work_sar,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
41,S2,no_TTI,0.1,3.352763180172407,6.480362537764351,0.0,0.0,0.0,839.592,128.7,20.46,41.65412324177606,2.6645352591003756e-17
42,S2,no_TTI,0.2,5.316968797685711,10.825311942959003,0.0,0.0,0.0,823.512,218.62800000000001,38.928000000000004,72.31849816193939,-5.728750807065808e-17
43,S2,no_TTI,0.2,5.825048990213808,11.240305522914218,0.0,0.0,0.0,821.016,229.572,41.459999999999994,69.14119942387318,-1.2656542480726783e-16
44,S2,no_TTI,0.3,8.221961509834742,16.870853080568722,0.0,0.0,0.0,869.496,341.736,53.303999999999995,121.88794765678752,-4.130029651605582e-17
45,S2,no_TTI,0.3,7.982360029790422,16.82872596153846,0.0,0.0,0.0,806.304,336.036,60.864,115.78023492514484,1.4921397450962105e-16
46,S2,no_TTI,0.4,10.361535913713475,21.100808960796517,0.0,0.0,0.0,838.392,406.90799999999996,76.86,130.2361414399494,2.6645352591003756e-17
47,S2,no_TTI,0.4,9.94679825466591,21.021464646464647,0.0,0.0,0.0,822.216,399.576,74.868,135.63925877531037,-8.393286066166184e-17
48,S2,no_TTI,0.5,12.82231562027732,25.53796350794585,0.0,0.0,0.0,817.8000000000001,520.668,113.256,145.99062913378597,1.9984014443252817e-17
49,S2,no_TTI,0.5,13.87158308907667,25.964987714987714,0.0,0.0,0.0,804.864,507.252,100.872,135.38475277179808,-2.531308496145357e-17
50,S2,symptom_based_TTI,0.1,2.752404907445668,6.2720632988435785,1682.7,260.856,88.14,5216.568,123.66,18.564,39.12075208794789,11.708832756853319
51,S2,symptom_based_TTI,0.1,2.79387760352559,6.388361045130641,1751.604,266.34000000000003,89.84400000000001,5455.4400000000005,129.096,18.96,41.0301451102486,12.647176277706311
52,S2,symptom_based_TTI,0.2,4.326562576371657,11.121629718394248,1619.748,244.044,89.42399999999999,5431.488,222.744,42.804,66.33057335880224,26.95703136162623
53,S2,symptom_based_TTI,0.2,3.8835395735500398,10.481747456612807,1641.48,244.944,88.908,5232.528,210.18,41.147999999999996,69.65746703207414,21.5017974391004
54,S2,symptom_based_TTI,0.3,6.23184659602375,16.05151515151515,1667.976,270.948,90.276,5358.216,317.82,62.916,96.92191650919716,34.59152088953275
55,S2,symptom_based_TTI,0.3,6.227980698522128,15.162303664921465,1639.8960000000002,263.94,89.664,5157.696,312.768,70.056,85.86823449963022,28.372979651255378
56,S2,symptom_based_TTI,0.4,7.419652440044228,20.655110579796773,1587.984,242.904,89.388,5243.832,414.672,73.23599999999999,147.4902117230175,44.98884589065467
57,S2,symptom_based_TTI,0.4,8.218902373986829,19.737783075089393,1598.316,248.712,89.4,5228.352,397.44,71.64,116.75523648132318,43.54894531607814
58,S2,symptom_based_TTI,0.5,10.878522026636166,25.61007798440312,1655.9160000000002,256.896,89.592,5204.904,512.304,104.48400000000001,139.25424777790184,50.95179760126861
59,S2,symptom_based_TTI,0.5,9.714119719294919,24.157829839704068,1700.832,251.62800000000001,90.21600000000001,5264.184,470.208,91.416,144.14037251034165,45.57600127330215
60,S2,test_based_TTI,0.1,2.8215623691038654,6.672748675691583,181.596,27.383999999999997,89.32799999999999,2932.7760000000003,136.04399999999998,20.316000000000003,48.467541786040336,9.73444463266993
61,S2,test_based_TTI,0.1,3.0194650501494174,6.506329113924051,154.836,26.052,89.148,2591.112,129.528,23.652,36.813597605808155,8.950892175817222
62,S2,test_based_TTI,0.2,4.472448012872798,11.140889167188478,172.88400000000001,26.04,90.264,2808.456,213.504,38.052,72.03014033931973,17.711865941985984
63,S2,test_based_TTI,0.2,4.617805238740167,10.079604880883208,164.124,24.924,88.488,2689.632,208.164,37.824,59.6907540138897,15.282332195648415
64,S2,test_based_TTI,0.3,7.659177445023131,17.128402366863906,199.02,33.804,89.292,3145.3920000000003,347.364,55.416,107.97234261556183,28.64753879936938
65,S2,test_based_TTI,0.3,6.329454331004498,15.659449970743125,167.47199999999998,25.524,89.208,2747.7599999999998,321.144,72.03599999999999,95.5502428660908,23.753307713668963
66,S2,test_based_TTI,0.4,7.802843437400313,21.873255813953488,214.476,30.516000000000002,90.096,3315.312,451.464,88.39200000000001,160.69235681909836,41.3289546329595
67,S2,test_based_TTI,0.4,8.33704687694797,21.06417445482866,177.84,32.304,89.976,2871.432,405.69599999999997,70.29599999999999,140.93444420551845,33.89403294446377
68,S2,test_based_TTI,0.5,11.098088930698161,24.86901913875598,171.072,25.836,90.31200000000001,2828.832,498.97200000000004,78.516,157.84282699990317,39.94111669456939
69,S2,test_based_TTI,0.5,10.2560242209241,25.023255813953487,185.664,26.088,89.304,2958.0240000000003,503.568,91.02,162.00161790586776,44.15415067225593
70,S2,test_based_TTI_test_contacts,0.1,3.0108311746762846,6.69778030734206,197.53199999999998,29.436,241.78799999999998,1161.6,141.216,21.096,45.235662734677135,11.403972778448045
71,S2,test_based_TTI_test_contacts,0.1,2.6723590203223644,6.362399505256648,177.52800000000002,29.088,228.72,1102.224,123.45599999999999,18.36,43.38628092974498,9.855264639919795
72,S2,test_based_TTI_test_contacts,0.2,4.37233438705353,10.849969751966123,176.496,25.355999999999998,221.292,1126.104,215.22,38.016000000000005,71.94806736844737,18.526307729958805
73,S2,test_based_TTI_test_contacts,0.2,4.969956979095555,11.282352941176471,187.248,25.524,227.028,1124.544,230.16,33.168,76.25879118454472,19.346086441905868
74,S2,test_based_TTI_test_contacts,0.3,7.215701763084117,15.96383363471971,194.112,28.2,223.42800000000003,1137.792,317.808,50.688,95.28665810528456,28.183151195237077
75,S2,test_based_TTI_test_contacts,0.3,6.94428742409214,15.773159144893112,178.164,27.456,213.492,1140.6000000000001,318.744,57.528,94.09953843031533,26.786301303630847
76,S2,test_based_TTI_test_contacts,0.4,8.337347654995861,19.672456575682382,169.416,30.924,203.688,1102.4399999999998,380.544,63.93600000000001,125.48468299834482,29.845663963415454
77,S2,test_based_TTI_test_contacts,0.4,9.146900168663302,21.348711803475133,185.448,31.608000000000004,212.50799999999998,1115.736,427.572,69.252,139.68557833668964,35.440305085321995
78,S2,test_based_TTI_test_contacts,0.5,11.036110862168313,24.49198520345253,187.09199999999998,28.332,205.28400000000002,1096.176,476.712,80.556,138.7713365602286,42.57780161852773
79,S2,test_based_TTI_test_contacts,0.5,10.47881867281799,24.701785714285716,180.792,32.160000000000004,201.648,1120.944,497.98799999999994,90.48,153.34548725837658,42.90952829761294
80,S3,no_TTI,0.1,2.4769824976734607,6.606989576946659,0.0,0.0,0.0,836.784,129.31199999999998,49.212,31.62049855553502,4.39648317751562e-17
81,S3,no_TTI,0.1,2.3198768112415555,6.462269756387403,0.0,0.0,0.0,848.376,130.512,50.339999999999996,33.31976792016553,6.394884621840901e-17
82,S3,no_TTI,0.2,3.899279331910196,11.193470374848852,0.0,0.0,0.0,819.48,222.168,98.17200000000001,46.60310382024642,-2.7977620220553945e-17
83,S3,no_TTI,0.2,3.831809015445721,10.585150265173835,0.0,0.0,0.0,828.648,215.556,91.5,46.02504120946338,-1.1857181902996673e-16
84,S3,no_TTI,0.3,5.326998513038168,15.852976190476191,0.0,0.0,0.0,805.944,319.596,143.616,68.58770997715054,-2.7844393457598926e-16
85,S3,no_TTI,0.3,5.9450194397827385,16.522316043425814,0.0,0.0,0.0,841.8240000000001,328.72799999999995,130.71599999999998,79.72989322608265,-2.398081733190338e-17
