,strategy,gov_policy,compliance,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
0,S1,no_TTI,0.5,2.463185086599684,3.214330218068536,0.0,0.0,0.0,405.71999999999997,61.908,0.0,14.467055232090077,-1.3322676295501879e-18
1,S1,no_TTI,0.5,2.3123356452129653,3.082843713278496,0.0,0.0,0.0,421.584,62.964000000000006,0.0,15.736856782170394,-2.6645352591003758e-18
2,S1,no_TTI,0.6,2.1242415051981567,3.045843520782396,0.0,0.0,0.0,550.8240000000001,59.796,0.0,18.092890769949758,6.661338147750939e-18
3,S1,no_TTI,0.6,2.254828842113618,3.178800232964473,0.0,0.0,0.0,539.904,65.496,0.0,19.037506537091005,3.3306690738754695e-17
4,S1,no_TTI,0.7,1.9744779405273167,3.13171884229179,0.0,0.0,0.0,700.416,63.624,0.0,23.510506160247026,2.1316282072803006e-17
5,S1,no_TTI,0.7,2.03755371181214,3.1590504451038575,0.0,0.0,0.0,703.4639999999999,63.876,0.0,22.676663947158495,3.3306690738754695e-17
6,S1,no_TTI,0.8,1.8786553961157821,3.1561938958707363,0.0,0.0,0.0,870.168,63.288,0.0,25.61720199708632,3.8635761256955445e-17
7,S1,no_TTI,0.8,1.9468464664310414,3.316320474777448,0.0,0.0,0.0,881.328,67.056,0.0,27.690764448764316,2.6645352591003758e-18
8,S1,no_TTI,0.9,1.8703752942258585,3.1612709832134294,0.0,0.0,0.0,1047.48,63.275999999999996,0.0,25.838568110775206,1.3322676295501879e-18
9,S1,no_TTI,0.9,1.6973878871039636,3.262654668166479,0.0,0.0,0.0,1123.44,69.612,0.0,33.396532040749825,-1.7319479184152442e-17
10,S1,symptom_based_TTI,0.5,2.39932779993724,3.2950121654501214,1027.008,158.964,55.308,2090.64,65.00399999999999,0.0,14.692178827508389,2.9778823353297215
11,S1,symptom_based_TTI,0.5,2.3825885004824294,3.240828402366864,993.936,154.344,56.088,2082.6,65.72399999999999,0.0,14.913821676036322,2.49128353417999
12,S1,symptom_based_TTI,0.6,2.0796202858169472,3.233073696824446,1168.068,183.048,67.104,2930.832,64.752,0.0,19.294514684995516,3.8068502306626333
13,S1,symptom_based_TTI,0.6,1.9865395869662539,3.175541252194266,1188.3359999999998,172.656,67.212,3020.112,65.124,0.0,20.07513671671109,4.308909433784945
14,S1,symptom_based_TTI,0.7,1.760227516932228,3.2262044653349,1372.452,206.05200000000002,77.904,3996.96,65.89200000000001,0.0,24.101521589123553,5.839591605052614
15,S1,symptom_based_TTI,0.7,1.6799749534170878,3.0990621336459556,1343.052,204.38400000000001,78.44399999999999,3830.688,63.443999999999996,0.0,23.706664359814585,5.344888393830776
16,S1,symptom_based_TTI,0.8,1.5714840661870146,3.2962740384615383,1586.688,248.124,90.072,5309.52,65.82,0.0,27.37007013385114,7.070536032526557
17,S1,symptom_based_TTI,0.8,1.5235121117845303,3.0684769775678866,1555.944,240.276,89.4,5036.592000000001,62.376000000000005,0.0,24.690666682895607,6.715379108748461
18,S1,symptom_based_TTI,0.9,1.2739839754994986,3.113939393939394,1782.72,258.42,100.704,6498.672,61.656000000000006,0.0,27.981419979133005,8.449697305976924
19,S1,symptom_based_TTI,0.9,1.2856310428803377,3.2468694096601074,1785.396,268.416,100.93199999999999,6624.024,65.34,0.0,30.467872710074634,9.000088183001445
20,S1,test_based_TTI,0.5,2.2444291911745156,3.1119266055045873,92.69999999999999,12.36,56.616,1065.216,61.056000000000004,0.0,15.27701524191436,1.7432840272415908
21,S1,test_based_TTI,0.5,2.209179595315511,2.9923167848699763,93.42,17.952,55.164,1085.6879999999999,60.756,0.0,14.110006841876178,1.790810654837651
22,S1,test_based_TTI,0.6,2.157278004844341,3.1818181818181817,119.79599999999999,20.244,66.684,1572.744,65.52000000000001,0.0,18.176089339781804,2.921241984463482
23,S1,test_based_TTI,0.6,2.05695493540949,3.0928792569659445,119.12400000000001,17.376,67.32000000000001,1569.1200000000001,59.94,0.0,17.30170539486881,2.774507956895252
24,S1,test_based_TTI,0.7,1.897453821140048,3.0430711610486894,123.864,18.12,78.204,1917.2160000000001,58.5,0.0,18.4532687743451,3.570078968058576
25,S1,test_based_TTI,0.7,1.8301341115517857,3.2309048178613398,147.132,22.055999999999997,78.07199999999999,2224.704,65.988,0.0,24.89737463068231,3.7119662749839692
26,S1,test_based_TTI,0.8,1.5630740241138885,3.2596618357487923,177.252,25.991999999999997,90.408,2928.72,64.776,0.0,28.03477731016165,5.679815682647141
27,S1,test_based_TTI,0.8,1.7358450572510276,3.279166666666667,172.776,27.372,89.43599999999999,2868.8160000000003,66.10799999999999,0.0,25.669983059489848,5.443380586329397
28,S1,test_based_TTI,0.9,1.481900631992177,3.2364907819453275,183.768,27.42,100.776,3393.6000000000004,61.092,0.0,26.461069669960924,6.658574000554756
29,S1,test_based_TTI,0.9,1.3803257595229128,3.3015197568389056,192.24,28.74,100.98,3580.224,65.172,0.0,31.175281299132738,6.749088207885033
30,S1,test_based_TTI_test_contacts,0.5,2.3430260535142553,3.2479041916167666,110.01599999999999,18.24,110.232,550.6800000000001,65.088,0.0,16.254984363534483,1.8787735240397665
31,S1,test_based_TTI_test_contacts,0.5,2.369467731914115,3.248048048048048,107.592,18.072000000000003,110.196,528.984,64.89599999999999,0.0,15.348827481518407,2.205207234837505
32,S1,test_based_TTI_test_contacts,0.6,2.105117599626753,3.2131642512077296,120.0,18.996,140.70000000000002,688.584,63.852000000000004,0.0,18.81164462228889,3.2074584379282123
