,strategy,gov_policy,age_prob,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
17,S1,symptom_based_TTI,0.75,1.5928428570677453,3.438670694864048,1601.988,259.464,89.68799999999999,5346.96,68.292,0.0,29.450973919643726,7.2071669389908575
18,S1,symptom_based_TTI,1.0,1.5253197772051152,3.280825958702065,1617.0,248.208,89.79599999999999,5326.1759999999995,66.732,0.0,27.557159837319528,8.149835894328401
19,S1,symptom_based_TTI,1.0,1.5369413945514263,3.407294832826748,1599.168,233.196,90.432,5428.728,67.26,0.0,29.002534125260485,7.918242746294339
20,S1,test_based_TTI,0.0,2.1180770137263822,4.106533254855798,203.4,31.68,90.012,3219.576,83.724,0.0,34.01602105094006,6.524624793206368
21,S1,test_based_TTI,0.0,2.1842945262396194,4.297149787750151,191.628,32.568,89.136,3075.84,85.032,0.0,35.25210259801951,6.557077316750821
22,S1,test_based_TTI,0.25,1.8502815456975856,3.6331395348837208,180.264,33.504,89.256,2980.0080000000003,74.988,0.0,30.652426787574456,6.145762109227332
23,S1,test_based_TTI,0.25,1.98437333479391,3.8702903026559605,176.796,31.895999999999997,90.15599999999999,2893.464,75.19200000000001,0.0,30.753337573513253,5.886257278110625
24,S1,test_based_TTI,0.5,1.8636352803162057,3.5448954489544895,172.248,30.66,89.532,2849.616,69.168,0.0,26.938281844684703,5.866466565785479
25,S1,test_based_TTI,0.5,1.8720724451930362,3.4993990384615383,169.87199999999999,24.192,89.32799999999999,2828.04,69.876,0.0,27.177404510619837,5.3170529037655845
26,S1,test_based_TTI,0.75,1.8299999391725126,3.6480611045828435,195.564,30.624,90.14399999999999,3131.856,74.508,0.0,30.538501498586,6.593579743754591
27,S1,test_based_TTI,0.75,1.7987844992170752,3.546233925290876,202.764,33.336,89.58000000000001,3206.712,69.49199999999999,0.0,28.281810922070452,5.961208031271727
28,S1,test_based_TTI,1.0,1.6683142574222607,3.0835857056329496,155.304,20.352,89.712,2658.696,61.092,0.0,23.476117724239725,4.5632402077104395
29,S1,test_based_TTI,1.0,1.6419882386061155,3.202159568086383,175.968,28.872,89.028,2901.264,64.05600000000001,0.0,25.81413258634627,5.395534688576991
30,S1,test_based_TTI_test_contacts,0.0,2.025031040185545,3.9685767097966727,187.93200000000002,34.392,242.4,1114.128,77.292,0.0,31.726853283017718,6.125642178328603
31,S1,test_based_TTI_test_contacts,0.0,2.126513510408725,3.9584587597832632,174.096,33.168,233.052,1099.416,78.89999999999999,0.0,30.80428718457382,5.710045525959365
32,S1,test_based_TTI_test_contacts,0.25,2.007599933499686,3.882978723404255,184.26000000000002,27.576,238.272,1147.4640000000002,78.84,0.0,31.622559342957224,6.455131607265064
33,S1,test_based_TTI_test_contacts,0.25,2.0848605468112846,3.9048723897911835,190.98,37.32,244.69199999999998,1140.1680000000001,80.784,0.0,30.78629962015767,6.866105387410402
34,S1,test_based_TTI_test_contacts,0.5,1.972232613165742,3.5141993957703925,172.02,27.503999999999998,227.06400000000002,1111.5839999999998,69.792,0.0,24.905335788752435,5.718124513775871
35,S1,test_based_TTI_test_contacts,0.5,1.8194686639130875,3.4127604166666665,144.39600000000002,24.744,207.132,1056.816,62.903999999999996,0.0,24.782803530799853,4.5847500559540935
36,S1,test_based_TTI_test_contacts,0.75,1.7807654628325387,3.326493663246832,161.004,28.116,219.48,1101.528,66.144,0.0,25.44541346669123,5.289846070346521
37,S1,test_based_TTI_test_contacts,0.75,1.7734847140270364,3.586497890295359,177.756,29.328,233.16,1163.76,71.39999999999999,0.0,30.429044800478128,5.664421512671604
38,S1,test_based_TTI_test_contacts,1.0,1.6239781951537888,3.1725796752856286,167.47199999999998,23.136,222.168,1151.04,63.312,0.0,25.751724516323463,5.152166621187514
39,S1,test_based_TTI_test_contacts,1.0,1.4309295236892727,3.0839606253618994,167.07600000000002,28.548000000000002,224.76,1171.224,63.91199999999999,0.0,29.13396177030287,5.123454780760646
40,S2,no_TTI,0.0,2.172840197759293,4.292917166866746,0.0,0.0,0.0,826.056,85.824,12.719999999999999,29.664578766396215,-2.1316282072803006e-17
41,S2,no_TTI,0.0,2.073607079709921,4.032015065913371,0.0,0.0,0.0,818.808,77.076,10.008000000000001,27.428927064265135,1.4654943925052067e-17
42,S2,no_TTI,0.25,2.0988958591832128,3.9950647748303516,0.0,0.0,0.0,804.648,77.71199999999999,10.308,26.576277747168124,-2.9309887850104134e-17
43,S2,no_TTI,0.25,1.989889893206134,3.670053795576808,0.0,0.0,0.0,806.448,73.67999999999999,9.948,23.782970503993646,-1.3322676295501879e-18
44,S2,no_TTI,0.5,1.9877406706772986,3.57083084279737,0.0,0.0,0.0,837.984,71.688,5.279999999999999,26.502118295482532,-1.3322676295501878e-17
45,S2,no_TTI,0.5,1.9652548817340676,3.5614355231143553,0.0,0.0,0.0,864.24,70.26,6.0,25.489451693150297,-1.5987211554602253e-17
46,S2,no_TTI,0.75,1.9228132669562625,3.567209162145871,0.0,0.0,0.0,884.664,71.016,3.228,29.50863348143472,-3.3306690738754695e-17
47,S2,no_TTI,0.75,1.9363741242803385,3.417556346381969,0.0,0.0,0.0,859.824,69.144,2.88,27.08727871756017,4.5297099404706384e-17
48,S2,no_TTI,1.0,1.8859240855459811,3.125748502994012,0.0,0.0,0.0,889.848,62.64,0.636,24.2100813256585,-5.3290705182007515e-18
49,S2,no_TTI,1.0,1.8472420074030635,3.19205298013245,0.0,0.0,0.0,873.7679999999999,63.624,0.8520000000000001,25.952772308442132,1.5987211554602253e-17
50,S2,symptom_based_TTI,0.0,1.6765285179525784,4.084288990825688,1645.9199999999998,264.012,89.664,5538.096,85.476,12.672,30.05302952629527,7.664581649993158
51,S2,symptom_based_TTI,0.0,1.6803321260586714,4.227460223924573,1630.9199999999998,260.268,90.50399999999999,5472.816,86.08800000000001,13.38,30.600555506309526,7.889161078631687
52,S2,symptom_based_TTI,0.25,1.5916801561689886,3.822356495468278,1712.268,257.292,90.552,5481.576,75.912,8.544,28.89468064942172,6.8625514490621535
53,S2,symptom_based_TTI,0.25,1.6849346143617403,3.878443113772455,1630.044,258.204,89.49600000000001,5253.7919999999995,77.724,10.260000000000002,26.739003128983253,6.958907199207461
54,S2,symptom_based_TTI,0.5,1.6638221796328336,3.609873570138471,1636.848,259.99199999999996,88.908,5437.968,71.952,5.52,24.91403014819243,8.3546661673659
55,S2,symptom_based_TTI,0.5,1.542441847216817,3.638644918444166,1662.4920000000002,262.632,90.19200000000001,5453.951999999999,69.6,7.104,25.635786043852413,7.356386302584287
56,S2,symptom_based_TTI,0.75,1.608023875719946,3.4253012048192772,1664.196,246.52799999999996,88.932,5377.32,68.232,3.492,25.41198601991641,7.2961783757422705
57,S2,symptom_based_TTI,0.75,1.5608894993331195,3.3831719128329296,1657.992,247.728,88.488,5391.96,67.068,3.444,25.41418432894809,7.266742236272132
58,S2,symptom_based_TTI,1.0,1.4679331756274057,3.219825072886297,1621.728,231.312,88.872,5286.312,66.26400000000001,0.7799999999999999,27.742283529116914,7.5316517164710675
59,S2,symptom_based_TTI,1.0,1.5623043352361632,3.2154798761609906,1626.048,229.764,90.16799999999999,5012.496,62.315999999999995,0.6120000000000001,25.50920389945065,5.917338083672495
60,S2,test_based_TTI,0.0,1.833792534972722,4.246968730057435,165.82799999999997,25.608,90.3,2724.0,79.86,12.276,27.614935081932032,5.48643009044084
61,S2,test_based_TTI,0.0,1.7907712121743131,4.35272504592774,171.588,22.284,89.58000000000001,2815.656,85.29599999999999,14.196,30.648160968234,5.3598863579981355
62,S2,test_based_TTI,0.25,1.6899500334648279,3.830155979202773,189.936,33.912,89.84400000000001,3044.712,79.56,8.916,29.721177615325825,5.819180289542715
63,S2,test_based_TTI,0.25,1.7697202297732002,3.9887640449438204,187.476,33.264,90.67200000000001,3019.6079999999997,80.94,11.844,27.20235140020583,5.98248569723635
64,S2,test_based_TTI,0.5,1.6694582399483877,3.7130902570233113,190.692,35.628,88.716,3028.1040000000003,74.544,7.308000000000001,27.57383612972287,6.146120245073283
65,S2,test_based_TTI,0.5,1.6095655114065648,3.6416115453998796,192.108,30.528000000000002,89.652,3047.472,72.672,8.016,26.316256605943792,6.219254048426795
66,S2,test_based_TTI,0.75,1.7006798914996124,3.444915254237288,186.46800000000002,26.808,89.7,3029.4719999999998,68.292,3.42,25.41761133704442,5.740110493867215
67,S2,test_based_TTI,0.75,1.6881454621217065,3.458093410108765,154.11599999999999,22.404,89.7,2589.9840000000004,64.86,3.2399999999999998,24.70904736592943,5.248096346515847
68,S2,test_based_TTI,1.0,1.5031039074150374,2.9440096327513547,150.492,19.812,88.668,2563.2960000000003,58.68,0.624,23.078077807821124,5.018055109582327
69,S2,test_based_TTI,1.0,1.5297485852081498,3.1553855208946437,171.54,23.052,89.80799999999999,2838.2160000000003,64.33200000000001,0.972,26.65816561947492,5.5133202253012925
70,S2,test_based_TTI_test_contacts,0.0,1.9100213465365037,4.073690270581462,188.66400000000002,29.052,239.184,1110.84,84.912,11.808,27.440549393241444,5.850965659551571
71,S2,test_based_TTI_test_contacts,0.0,1.7680531900396088,4.139093137254902,168.56400000000002,24.828,223.96800000000002,1081.632,81.06,12.144,28.726460510642525,5.563985815621771
72,S2,test_based_TTI_test_contacts,0.25,1.7273696724487442,3.9028026237328564,193.332,28.343999999999998,242.94000000000003,1144.8719999999998,78.53999999999999,9.528,28.3572101878834,5.893202523758042
73,S2,test_based_TTI_test_contacts,0.25,1.703736946703315,3.8340348767288033,168.756,24.444,225.048,1113.384,76.512,10.44,26.756240418523976,5.3159850730646685
74,S2,test_based_TTI_test_contacts,0.5,1.568247357235699,3.593806921675774,167.448,25.104,222.89999999999998,1118.52,71.02799999999999,6.504,28.25203005633038,5.277129175263262
75,S2,test_based_TTI_test_contacts,0.5,1.7108533873293776,3.758771929824561,160.98,23.184,217.93200000000002,1090.32,71.988,8.363999999999999,25.943669323158534,4.914066602709181
76,S2,test_based_TTI_test_contacts,0.75,1.7149712796002068,3.543529411764706,186.14399999999998,27.900000000000002,236.928,1158.1680000000001,72.28800000000001,3.984,27.433028775863235,5.885557120292513
77,S2,test_based_TTI_test_contacts,0.75,1.6787668862876388,3.5096618357487923,173.688,25.092000000000002,227.16,1145.448,69.744,4.548,26.347836798337152,5.487707637354876
78,S2,test_based_TTI_test_contacts,1.0,1.5510329677388075,3.0767867690490256,167.652,23.004,221.02800000000002,1127.736,62.508,0.504,24.833718751750222,5.659495475668138
79,S2,test_based_TTI_test_contacts,1.0,1.541634471561946,3.0371014492753625,178.38,23.124000000000002,228.66,1165.632,62.868,0.156,25.47750336679295,5.322663071874746
80,S3,no_TTI,0.0,1.6297546364353077,3.7716121495327104,0.0,0.0,0.0,802.272,77.48400000000001,23.087999999999997,20.914320749073035,-2.2648549702353192e-17
81,S3,no_TTI,0.0,1.7191409921365586,4.199881023200476,0.0,0.0,0.0,826.9920000000001,84.72,26.471999999999998,23.569487906621344,1.4654943925052067e-17
82,S3,no_TTI,0.25,1.6205953273283071,3.934476423759951,0.0,0.0,0.0,800.616,77.1,23.412,21.930813965674474,-5.3290705182007515e-18
83,S3,no_TTI,0.25,1.647211032296469,3.871970167806091,0.0,0.0,0.0,807.672,74.76,22.355999999999998,20.599649388419756,2.1316282072803006e-17
84,S3,no_TTI,0.5,1.4266210799466152,3.5002967359050445,0.0,0.0,0.0,855.672,70.776,20.988,20.941721763479425,1.199040866595169e-17
85,S3,no_TTI,0.5,1.4899835110332467,3.682766845557543,0.0,0.0,0.0,839.856,74.11200000000001,24.612000000000002,19.515571823966944,5.861977570020827e-17
86,S3,no_TTI,0.75,1.2831614123063322,3.352975495915986,0.0,0.0,0.0,862.5360000000001,68.964,24.18,18.39193607168335,2.6645352591003758e-18
87,S3,no_TTI,0.75,1.2712160271571828,3.4501758499413833,0.0,0.0,0.0,853.0079999999999,70.632,23.532,21.07566549203813,-1.865174681370263e-17
88,S3,no_TTI,1.0,1.2391159309146935,3.2449324324324325,0.0,0.0,0.0,896.784,69.156,24.0,18.747961280346054,1.3322676295501878e-17
89,S3,no_TTI,1.0,1.2928937648884224,3.2126436781609193,0.0,0.0,0.0,903.3119999999999,67.08000000000001,21.372,18.71237818912974,-3.996802888650563e-18
90,S3,symptom_based_TTI,0.0,1.261158997092656,4.199261992619927,1469.532,210.492,89.82000000000001,4675.776,81.93599999999999,29.075999999999997,22.301705645018778,5.950560003709329
91,S3,symptom_based_TTI,0.0,1.3043691652291587,3.8581997533908754,1481.196,211.79999999999998,90.57600000000001,4650.984,75.096,21.168,22.770241357023302,5.769517210956362
92,S3,symptom_based_TTI,0.25,1.229755298572099,3.815171583383504,1319.844,179.784,89.568,4425.84,76.04400000000001,23.267999999999997,21.959192225017745,6.305325163843185
93,S3,symptom_based_TTI,0.25,1.2836822048119958,3.7327690447400244,1305.216,195.24,89.208,4309.512,74.088,22.512,20.758325436200415,5.339150162691093
94,S3,symptom_based_TTI,0.5,1.0657063101114426,3.711136890951276,1139.88,158.67600000000002,89.184,4045.3199999999997,76.77600000000001,28.092,21.31285862813531,5.323809228279193
95,S3,symptom_based_TTI,0.5,1.0813028818298147,3.4548156956004754,1220.1960000000001,167.616,89.49600000000001,4044.504,69.732,22.62,20.44842211629963,4.83856051684741
96,S3,symptom_based_TTI,0.75,1.0769746813136865,3.471301020408163,1065.828,150.588,90.24,3613.8720000000003,65.316,21.288,19.629653543596838,4.133990852804844
97,S3,symptom_based_TTI,0.75,0.9534479795298799,3.091753774680604,1049.6399999999999,141.84,89.49600000000001,3756.792,63.888,21.564,17.627858262888807,4.994092688105774
98,S3,symptom_based_TTI,1.0,1.0308082557360008,3.002372479240807,991.08,144.58800000000002,88.86,3507.504,60.744,19.02,16.547630935597287,4.321056434351945
99,S3,symptom_based_TTI,1.0,1.0450756086377728,3.234736218138708,974.964,128.088,90.31200000000001,3605.544,65.484,22.008000000000003,17.982643409807498,4.33684596892944
100,S3,test_based_TTI,0.0,1.4766240445790288,4.032432432432432,134.112,21.575999999999997,89.892,2338.656,80.568,24.948,22.11480003363086,4.00225155568011
101,S3,test_based_TTI,0.0,1.457250944351028,3.9659653465346536,150.29999999999998,29.028,89.32799999999999,2549.208,76.908,20.580000000000002,23.23042869798152,4.838560989163351
