,strategy,gov_policy,n_cases,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
24,S1,test_based_TTI,30000,2.0356997792162534,3.9436666666666667,1169.62,205.828,57.992000000000004,15906.743999999999,473.24,0.0,191.09660995914018,37.859416534913194
25,S1,test_based_TTI,30000,2.047603993135438,3.9221333333333335,1163.48,202.14800000000002,57.971999999999994,15810.367999999999,470.656,0.0,187.37835324695672,37.56516757679454
26,S1,test_based_TTI,40000,2.020672164041424,3.893425,1133.748,195.267,57.822,15479.940000000002,467.211,0.0,187.8557308881636,36.87460942686353
27,S1,test_based_TTI,40000,2.0291868982262984,3.90955,1155.21,208.476,57.723,15779.400000000001,469.14599999999996,0.0,187.86246322630328,37.78110898653776
28,S1,test_based_TTI,50000,2.006313249543801,3.8442,1112.6039999999998,196.6824,57.6216,15211.324799999999,461.304,0.0,184.82530191985185,35.72110813488577
29,S1,test_based_TTI,50000,2.0119552316984506,3.8821,1139.4096,201.51360000000003,57.8208,15560.731200000002,465.852,0.0,187.37071970339673,37.04665249278229
30,S1,test_based_TTI_test_contacts,10000,1.9942773465293033,3.8817,1160.604,199.164,1003.152,4088.6400000000003,465.804,0.0,188.46784256908433,38.02287584740164
31,S1,test_based_TTI_test_contacts,10000,2.0157909273430743,3.8118,1077.108,188.364,931.692,3905.16,457.416,0.0,179.19589283642654,36.3251958824066
32,S1,test_based_TTI_test_contacts,20000,2.00851081909801,3.87785,1142.568,208.794,988.416,4057.9559999999997,465.342,0.0,187.31156331634793,37.00913839189409
33,S1,test_based_TTI_test_contacts,20000,1.9880017498820162,3.8386,1127.682,192.654,972.7620000000001,4017.072,460.632,0.0,185.91397192970064,36.1578180844601
34,S1,test_based_TTI_test_contacts,30000,2.003373227807149,3.8759,1139.308,193.172,983.6999999999999,4020.7520000000004,465.108,0.0,187.9615790041219,36.741633659024366
35,S1,test_based_TTI_test_contacts,30000,2.0321947195637073,3.8745333333333334,1119.852,202.528,968.5759999999999,4010.872,464.944,0.0,184.93030364596243,36.15033000639613
36,S1,test_based_TTI_test_contacts,40000,2.0428592668440184,3.911925,1141.9379999999999,205.401,986.418,4035.9419999999996,469.43100000000004,0.0,187.1638927533938,37.12399522532019
37,S1,test_based_TTI_test_contacts,40000,2.027893655516061,3.880125,1126.536,192.393,972.36,4033.6259999999997,465.615,0.0,185.62522028910197,36.64254104896704
38,S1,test_based_TTI_test_contacts,50000,2.006650194958441,3.84564,1119.7848000000001,195.2952,968.6496,4007.3952,461.47679999999997,0.0,184.03699954838885,36.6417770565916
39,S1,test_based_TTI_test_contacts,50000,2.0408959367686603,3.89232,1157.5511999999999,196.9632,997.8648000000001,4068.9647999999997,467.0784,0.0,184.5383423611038,37.63254522665021
40,S2,no_TTI,10000,2.049894616153624,3.8704,0.0,0.0,0.0,2093.952,464.448,58.164,160.29664606156507,9.85878045867139e-17
41,S2,no_TTI,10000,2.025046222583457,3.8795,0.0,0.0,0.0,2094.456,465.54,59.339999999999996,163.1944532899851,-6.394884621840901e-17
42,S2,no_TTI,20000,2.003608028947108,3.84135,0.0,0.0,0.0,2107.8959999999997,460.962,59.412,161.11703652634756,5.995204332975844e-17
43,S2,no_TTI,20000,2.0334534618847693,3.90305,0.0,0.0,0.0,2139.3959999999997,468.366,60.966,163.38558457382803,-8.659739592076221e-18
44,S2,no_TTI,30000,2.0285853372896487,3.8806,0.0,0.0,0.0,2101.176,465.67199999999997,60.272,161.96975952524232,6.394884621840901e-17
45,S2,no_TTI,30000,2.0219532953623767,3.9038,0.0,0.0,0.0,2100.952,468.456,63.532,162.2896045565152,3.019806626980426e-17
46,S2,no_TTI,40000,2.031225044884822,3.874875,0.0,0.0,0.0,2118.396,464.98499999999996,59.166,162.07199461382035,3.5638159090467526e-17
47,S2,no_TTI,40000,2.0087409064081534,3.8972,0.0,0.0,0.0,2144.1,467.66400000000004,62.664,163.9510912310203,1.965094753586527e-17
48,S2,no_TTI,50000,1.9892907470788879,3.83346,0.0,0.0,0.0,2107.4256,460.0152,58.9608,162.3395103505317,4.0767389464235745e-17
49,S2,no_TTI,50000,2.03377374491308,3.92126,0.0,0.0,0.0,2122.7808,470.5512,61.056000000000004,165.44235061042858,3.8902214782865484e-17
50,S2,symptom_based_TTI,10000,1.670194664692335,3.9375,1063.752,162.408,57.3,14442.119999999999,472.5,60.89999999999999,167.64723065876288,43.529409578157924
51,S2,symptom_based_TTI,10000,1.6529403518431711,3.8948,1110.972,181.188,57.852,14926.128,467.376,60.96,163.76627532935862,44.29688244946165
52,S2,symptom_based_TTI,20000,1.6273654258390224,3.8167,1091.52,167.082,57.372,14718.144,458.004,56.346000000000004,161.85829117649973,44.515857722818396
53,S2,symptom_based_TTI,20000,1.6710302827125663,3.9393,1084.932,170.298,58.128,14696.304,472.71599999999995,63.083999999999996,164.9872282990428,44.12113777544968
