,strategy,gov_policy,wfh,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
12,S1,symptom_based_TTI,0.25,1.8307591823680045,3.959508098380324,1487.6100000000001,264.702,89.676,4808.436000000001,79.206,9.462,27.013531664822903,6.107961651087566
13,S1,symptom_based_TTI,0.25,1.7242697069328004,3.876077265973254,1513.908,257.55,89.646,5145.876,78.258,7.8420000000000005,28.78915838175358,6.813836235273207
14,S1,symptom_based_TTI,0.5,1.5361599148525704,3.9852231604342583,1276.5120000000002,221.196,89.358,4279.368,79.28999999999999,18.93,24.463669291929328,5.332893042163933
15,S1,symptom_based_TTI,0.5,1.485909710394303,3.7557251908396947,1286.154,220.944,89.928,4406.088,76.752,15.234000000000002,25.60234511366692,5.549604044715101
16,S1,symptom_based_TTI,0.75,1.2691692684279194,3.6443361753958587,1020.078,191.988,89.16,3475.62,71.808,22.92,20.256161456595784,3.6241272783004552
17,S1,symptom_based_TTI,0.75,1.279827974921856,3.8771498771498774,1024.086,179.076,89.898,3684.756,75.744,24.654,21.482189710110752,4.605090971815847
18,S1,symptom_based_TTI,1.0,1.0980036718151895,3.7635811836115325,757.9440000000001,149.094,89.556,2927.1,74.406,31.098,18.090337110543476,3.5101302976701945
19,S1,symptom_based_TTI,1.0,1.120078394958258,3.8386018237082067,777.4979999999999,151.404,89.52,3000.084,75.774,32.7,17.40158923227559,3.5620632512483894
20,S1,test_based_TTI,0.0,2.0030839756888694,3.839080459770115,187.218,30.924,89.05799999999999,3008.556,76.152,0.0,30.32625123962341,6.092575018612192
21,S1,test_based_TTI,0.0,2.0340591994216233,3.9266241299303943,198.906,37.296,89.454,3177.612,81.23400000000001,0.0,32.797189227840924,6.356194054524536
22,S1,test_based_TTI,0.25,1.749984291771909,3.838516746411483,152.712,30.294,89.064,2652.828,77.016,9.642000000000001,27.212385820222227,5.049929349666183
23,S1,test_based_TTI,0.25,1.7388199231023973,3.7998236331569664,173.604,28.733999999999998,89.79599999999999,2884.2839999999997,77.562,8.501999999999999,28.059484705375002,5.5077230242588655
24,S1,test_based_TTI,0.5,1.5710668773219305,3.9099153567110037,142.73399999999998,23.238,89.862,2509.9919999999997,77.60400000000001,16.416,25.361622825903893,4.6438417930104885
25,S1,test_based_TTI,0.5,1.602718221242319,3.9541041482789057,153.942,28.272000000000002,89.61,2645.952,80.64,17.328,25.87779707234973,4.748367523634446
26,S1,test_based_TTI,0.75,1.41748018472941,3.9322820037105752,106.11,19.698,89.976,2104.5,76.302,23.856,21.409887145572693,3.531327349937802
27,S1,test_based_TTI,0.75,1.3173899139875997,3.8961666163597948,102.54,17.573999999999998,90.066,2052.3239999999996,77.448,26.136,21.488714837099852,3.636208452654603
28,S1,test_based_TTI,1.0,1.1395534723424425,3.832129963898917,76.68,15.09,89.646,1753.644,76.428,33.426,17.752949660675682,2.5217958869266113
29,S1,test_based_TTI,1.0,1.1669580051258317,4.050636749545179,88.908,17.369999999999997,89.49000000000001,1885.452,80.15400000000001,35.364000000000004,18.82821427275988,2.8700207218101372
30,S1,test_based_TTI_test_contacts,0.0,2.1084744778567424,4.018026275588145,187.17600000000002,33.444,241.782,1130.304,78.90599999999999,0.0,31.24219173731052,6.257586466538795
31,S1,test_based_TTI_test_contacts,0.0,1.970576784446403,3.781785392245266,169.488,30.636000000000003,229.18200000000002,1125.804,75.492,0.0,30.758908012848153,5.396438216032778
32,S1,test_based_TTI_test_contacts,0.25,1.69877913451794,3.7551817362571343,163.794,29.412000000000003,222.246,1094.688,75.006,7.800000000000001,27.98101470398034,5.293570863158296
33,S1,test_based_TTI_test_contacts,0.25,1.764983522841496,3.849671249252839,158.526,29.712,218.706,1096.5240000000001,77.286,9.366,27.40512992070347,5.0810608747306665
34,S1,test_based_TTI_test_contacts,0.5,1.6223770034898297,3.955365331702843,139.98000000000002,24.012,203.604,1045.872,77.628,18.102,23.054476310570898,4.6307526189377075
35,S1,test_based_TTI_test_contacts,0.5,1.6422370701993367,3.9427549194991056,146.48399999999998,26.052,208.85999999999999,1080.156,79.344,16.128,25.358634871716095,4.80898632759247
36,S1,test_based_TTI_test_contacts,0.75,1.3037312862305312,3.854437869822485,102.846,23.262,176.214,1016.8319999999999,78.16799999999999,26.064,22.23003840937429,3.4342911058705163
37,S1,test_based_TTI_test_contacts,0.75,1.3594291828658889,3.851996397478235,113.052,20.514,183.13799999999998,1009.548,76.98599999999999,25.206,20.781754973909074,3.828693377333238
38,S1,test_based_TTI_test_contacts,1.0,1.1245868222057083,3.889024763069398,85.044,14.568,160.38,964.368,76.326,33.63,17.74439605794333,2.8804629694474126
39,S1,test_based_TTI_test_contacts,1.0,1.1481730339978946,3.946535244922342,82.422,16.5,158.7,953.2439999999999,79.27799999999999,36.12,17.40083308244426,2.6926670106059856
40,S2,no_TTI,0.0,2.3375309936812934,3.855360855360855,0.0,0.0,0.0,832.92,77.886,1.248,29.41519886565053,4.7295500849031674e-17
41,S2,no_TTI,0.0,2.2631282268140067,3.9753123140987507,0.0,0.0,0.0,843.048,80.19,1.8719999999999999,32.666177408707895,-7.327471962526034e-18
42,S2,no_TTI,0.25,1.9897839752740936,3.866904337492573,0.0,0.0,0.0,830.9159999999999,78.096,10.638000000000002,27.272322835364445,-3.3306690738754695e-18
43,S2,no_TTI,0.25,2.029189248232442,4.017401740174018,0.0,0.0,0.0,824.5559999999999,80.34,12.294,27.46627341384766,1.4654943925052067e-17
44,S2,no_TTI,0.5,1.7351296500704516,3.9385887215825215,0.0,0.0,0.0,819.0360000000001,80.04,19.23,25.548695251268303,2.6645352591003758e-18
45,S2,no_TTI,0.5,1.7655111473703733,3.975301204819277,0.0,0.0,0.0,816.468,79.188,19.308,24.711017944382206,9.325873406851316e-18
46,S2,no_TTI,0.75,1.508898123567623,3.76437125748503,0.0,0.0,0.0,805.32,75.438,24.983999999999998,20.215681603704844,-7.327471962526034e-18
47,S2,no_TTI,0.75,1.4648643649624584,3.8366013071895426,0.0,0.0,0.0,830.7239999999999,77.48400000000001,25.554,22.345599285218213,7.327471962526034e-18
48,S2,no_TTI,1.0,1.235051517200888,4.00602954476937,0.0,0.0,0.0,822.312,79.728,37.638,17.510004704667914,-2.065014825802791e-17
49,S2,no_TTI,1.0,1.2806359458020762,3.89587786259542,0.0,0.0,0.0,799.476,76.554,34.44,16.94950366498919,2.6645352591003756e-17
50,S2,symptom_based_TTI,0.0,1.7880154380637163,3.796218487394958,1905.54,286.63800000000003,89.358,6083.808,75.89399999999999,1.65,29.972870634030777,8.525124728199408
51,S2,symptom_based_TTI,0.0,1.7917620170333084,3.7526555386949925,1940.724,294.51599999999996,90.438,6095.076,74.19,1.2240000000000002,29.3982880713049,8.144576851946608
52,S2,symptom_based_TTI,0.25,1.7443007688583019,3.930930930930931,1691.202,268.548,89.58000000000001,5489.148,78.53999999999999,10.098,25.90640460671517,7.684466031495924
53,S2,symptom_based_TTI,0.25,1.584917657685767,3.763064133016627,1678.086,266.454,89.32799999999999,5344.812,76.04400000000001,11.142,25.96146323373952,6.912520739746505
