,strategy,gov_policy,mt,effective_r,base_r,manual_traces,app_traces,test_needed,persondays_quarantined,secondary_infections,secondary_infections_social,secondary_infections_isolating,secondary_infections_contact
60,S3,test_based_TTI,True,1.3064063466336975,3.848684210526316,161.43599999999998,26.592,89.03999999999999,2677.584,77.22,24.312,21.93186509020366,4.76439797093787
61,S3,test_based_TTI,True,1.3489080382762562,3.8265060240963855,138.144,19.2,89.316,2391.216,76.224,24.588,20.256771803923986,4.508980073612991
62,S3,test_based_TTI,True,1.3122564031884887,3.9170052234474753,151.308,20.183999999999997,89.46000000000001,2569.944,80.988,25.512,23.851788052622247,4.491998555052572
63,S3,test_based_TTI,False,1.609509929455082,3.908429351121892,0.0,18.288,89.52,1007.736,77.33999999999999,24.648,20.210107373465352,0.6329101424774771
64,S3,test_based_TTI,False,1.533020935750366,3.749086479902558,0.0,19.62,89.508,1030.272,73.872,21.756,21.19258070746121,0.7167747745135827
65,S3,test_based_TTI,False,1.5474217967639188,3.882953181272509,0.0,16.416,89.532,1005.6719999999999,77.628,24.972,21.12769461984088,0.5922488192548431
66,S3,test_based_TTI_test_contacts,True,1.332449461267962,3.8347826086956522,147.46800000000002,23.112,206.652,1062.096,79.38,24.683999999999997,22.577958514924415,4.5363376368287724
67,S3,test_based_TTI_test_contacts,True,1.5094195760245297,3.9602689486552567,149.448,22.355999999999998,207.51600000000002,1047.648,77.748,22.872,20.561755155428227,4.681319728058231
68,S3,test_based_TTI_test_contacts,True,1.3583264085396143,4.15222623345367,158.16,27.336,215.68800000000002,1082.3039999999999,82.81200000000001,26.124000000000002,24.61482415874068,4.982713949345245
69,S3,test_based_TTI_test_contacts,False,1.5145937044519502,3.840909090909091,0.0,20.796,105.84,847.0079999999999,75.036,22.02,22.592798362057216,0.8340990277694821
70,S3,test_based_TTI_test_contacts,False,1.6723721269429348,3.892601431980907,0.0,23.028,107.532,846.624,78.288,23.087999999999997,20.819473645143336,0.7457781377803523
71,S3,test_based_TTI_test_contacts,False,1.4760736535173322,4.016383850204798,0.0,25.824,110.136,873.744,82.368,28.188,22.955128369609792,0.9535531440567568
72,S4,no_TTI,True,1.0467990977777166,3.575029308323564,0.0,0.0,89.78399999999999,838.0559999999999,73.188,35.304,16.453928870294583,5.3290705182007515e-18
73,S4,no_TTI,True,1.2272598800048327,3.926829268292683,0.0,0.0,89.448,828.048,81.144,39.083999999999996,16.699901839580125,1.4654943925052067e-17
74,S4,no_TTI,True,1.0889599134481187,4.107791446983011,0.0,0.0,89.46000000000001,828.336,84.144,44.604,17.233745132928732,-1.3322676295501879e-18
75,S4,no_TTI,False,1.313975089418097,3.928786964393482,0.0,0.0,0.0,825.7439999999999,78.12,35.196,16.796919322010563,1.199040866595169e-17
76,S4,no_TTI,False,1.1206361193998728,3.822314049586777,0.0,0.0,0.0,818.376,77.69999999999999,38.448,16.47170896483939,2.1316282072803006e-17
77,S4,no_TTI,False,1.1568854357876357,3.912291169451074,0.0,0.0,0.0,817.5360000000001,78.684,38.688,16.728720115439067,6.661338147750939e-18
78,S4,symptom_based_TTI,True,1.0013504831188293,3.708235294117647,914.0999999999999,135.252,89.004,3215.232,75.648,36.504000000000005,14.931366446666877,3.785083697709016
79,S4,symptom_based_TTI,True,0.9121740917937716,3.8338296605122095,890.532,125.48400000000001,89.592,3089.184,77.244,39.815999999999995,15.962630976207343,3.086885422331746
80,S4,symptom_based_TTI,True,0.8922443355118943,3.704275534441805,954.1320000000001,130.512,89.43599999999999,3245.688,74.85600000000001,37.163999999999994,15.933698732199726,3.7278277357759118
81,S4,symptom_based_TTI,False,1.0867200167797144,3.661037394451146,0.0,122.06400000000001,89.736,1139.568,72.84,36.408,14.305274968257505,0.5053435778932929
82,S4,symptom_based_TTI,False,1.1804892065156916,3.892021595680864,0.0,124.18799999999999,89.904,1146.6239999999998,77.85600000000001,35.856,17.877084515241496,0.5084093976186087
83,S4,symptom_based_TTI,False,1.0722015105966853,3.734290843806104,0.0,127.27199999999999,89.88,1151.808,74.88,36.66,16.240321078507424,0.4798942310078379
84,S4,test_based_TTI,True,1.0204623152532508,4.0192539109506615,111.55199999999999,13.44,89.232,2088.984,80.16000000000001,40.74,15.872449391636737,3.1954501929524564
85,S4,test_based_TTI,True,0.9546522240211626,3.8722669735327964,101.52,15.348000000000003,89.22,1998.4080000000001,80.76,38.964,18.580662782086684,3.305110433727968
86,S4,test_based_TTI,True,0.9256701307190089,3.738974970202622,102.756,13.812,89.544,2004.8400000000001,75.288,35.208,18.338030069188942,3.102676178653118
87,S4,test_based_TTI,False,1.1089133539762306,3.899755501222494,0.0,10.812,89.256,920.784,76.56,38.903999999999996,15.602386120031355,0.2834269147072847
88,S4,test_based_TTI,False,1.1762585473835605,3.7097170971709716,0.0,11.952,89.316,920.304,72.384,34.967999999999996,14.092241617498525,0.3726016059534474
