,total_effects_gp,total_effects,main_effects_gp,main_effects
home_sar,0.02674655900861275,0.011257264859713248,-0.0012572648597132486,-0.05125726485971325
other_sar,0.3313172856619426,0.3466054437242941,0.3166054437242941,0.3366054437242941
p_under18,0.14626989531807433,0.1783422592429997,0.0983422592429997,0.1583422592429997
work_sar,0.5661499843019704,0.5363978862334134,0.5163978862334135,0.4563978862334135
